search URL:,https://patents.google.com/?q=%22variant+interpretation%22+OR+%22variant+classification%22+OR+%22variant+scoring%22+OR+%22variant+annotation%22+OR+%22variant+pathogenicity%22+OR+%22genetic+variant+scoring%22
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9940434-B2,System for genome analysis and genetic disease diagnosis ,The Children's Mercy Hospital,"Stephen Kingsmore, Neil Miller, Carol Saunders, Sarah Soden, Emily G. Farrow",2012-09-27,2013-09-27,2018-04-10,2018-04-10,https://patents.google.com/patent/US9940434B2/en,https://patentimages.storage.googleapis.com/30/f3/6e/33869260a2e267/US09940434-20180410-D00000.png
JP-7608513-B2,Systems and methods for exploiting relatedness in genomic data analysis ,リジェネロン・ファーマシューティカルズ・インコーポレイテッド,"ステープルズ、ジェフリー, ハベガー、ルーカス, リード、ジェフリー",2017-09-07,2023-05-08,2025-01-06,2025-01-06,https://patents.google.com/patent/JP7608513B2/en,
JP-7200294-B2,A variant pathogenicity classifier trained to avoid overfitting the location-frequency matrix ,イルミナ インコーポレイテッド,"ホン・ガオ, カイ－ハウ・ファー, サムスクルーティ・レディ・パディゲパティ",2018-10-15,2021-05-19,2023-01-06,2023-01-06,https://patents.google.com/patent/JP7200294B2/en,https://patentimages.storage.googleapis.com/f4/6c/e7/e6c98e0afda47e/0007200294000020.png
US-10204208-B2,Systems and methods for genomic variant annotation ,"Cypher Genomics, Inc.","Phillip Pham, Salil Deshpande",2013-03-15,2016-07-28,2019-02-12,2019-02-12,https://patents.google.com/patent/US10204208B2/en,https://patentimages.storage.googleapis.com/93/69/8b/41f4fb70310c33/US10204208-20190212-D00000.png
US-12073922-B2,Deep learning-based framework for identifying sequence patterns that cause sequence-specific errors (SSEs) ,"Illumina, Inc.","Dorna KASHEFHAGHIGHI, Amirali KIA, Kai-How FARH",2018-07-11,2019-07-08,2024-08-27,2024-08-27,https://patents.google.com/patent/US12073922B2/en,https://patentimages.storage.googleapis.com/cb/8c/9b/8f8057b21a88e5/US12073922-20240827-D00000.png
KR-102196522-B1,Deep learning-based technique for training deep convolutional neural networks ,"일루미나, 인코포레이티드","홍 가오, 카이-하우 파, 락슈만 순다람, 제레미 프랜시스 맥레",2017-10-16,2018-10-15,2020-12-29,2020-12-29,https://patents.google.com/patent/KR102196522B1/en,https://patentimages.storage.googleapis.com/f7/e2/43/eee106af88ae58/112019127218195-pct00096.png
US-2019189242-A1,Machine learning system and method for somatic mutation discovery ,Personal Genome Diagnostics Inc.,"Samuel V. Angiuoli, Derrick Wood",2017-12-18,2018-12-12,2019-06-20,,https://patents.google.com/patent/US20190189242A1/en,https://patentimages.storage.googleapis.com/73/bb/b1/e469390a6cea01/US20190189242A1-20190620-D00000.png
US-2023326547-A1,"Variant annotation, analysis and selection tool ","Fabric Genomics, Inc., University Of Utah Research Foundation","Mark Yandell, Martin Reese, Chad Huff, Hao Hu, Marvin Moore",2010-09-09,2022-11-04,2023-10-12,,https://patents.google.com/patent/US20230326547A1/en,https://patentimages.storage.googleapis.com/e6/0d/b6/6f81504dd3ecdf/US20230326547A1-20231012-D00001.png
US-2021343419-A1,Predicting likelihood and site of metastasis from patient records ,"Tempus Labs, Inc.","Ashraf Hafez, Martin Christian Stumpe, Nike Beaubier, Daniel Neems, Caroline Epstein, Adrian William George Lange",2020-04-09,2021-07-12,2021-11-04,,https://patents.google.com/patent/US20210343419A1/en,https://patentimages.storage.googleapis.com/2b/65/70/3a4c3fe5abd174/US20210343419A1-20211104-D00000.png
US-10866789-B1,Variant modeling elements in graphical programs ,"The Mathworks, Inc.","John E. Ciolfi, Sudha S. Dhoorjaty, Raju Kottamadal, Karthik Srinivasan, Rajesh Bandreddi",2016-12-02,2019-12-16,2020-12-15,2020-12-15,https://patents.google.com/patent/US10866789B1/en,https://patentimages.storage.googleapis.com/ac/19/4d/825697e27213c1/US10866789-20201215-D00000.png
AU-2019206709-B2,Deep learning-based variant classifier ,"Illumina Cambridge Limited, Illumina, Inc.","Anthony James Cox, Kai-How FARH, Ole Benjamin SCHULZ-TRIEGLAFF",2018-01-15,2019-01-14,2021-09-09,2021-09-09,https://patents.google.com/patent/AU2019206709B2/en,
CN-107849612-B,Alignment and variant sequencing analysis pipeline ,奎斯特诊断投资股份有限公司,C·埃尔津加,2015-03-26,2016-03-25,2023-04-14,2023-04-14,https://patents.google.com/patent/CN107849612B/en,https://patentimages.storage.googleapis.com/87/15/02/9c1df8f36b0ff5/HDA0001480858400000011.png
US-2020340059-A1,Methods and systems for assessing infertility as a result of declining ovarian reserve and function ,Celmatix Inc.,Piraye Yurttas Beim,2015-10-19,2019-11-09,2020-10-29,,https://patents.google.com/patent/US20200340059A1/en,https://patentimages.storage.googleapis.com/1e/43/18/869ccdcb879a14/US20200340059A1-20201029-D00000.png
US-2021118559-A1,Artificial intelligence assisted precision medicine enhancements to standardized laboratory diagnostic testing ,"Tempus Labs, Inc.",Eric Lefkofsky,2019-10-22,2020-10-21,2021-04-22,,https://patents.google.com/patent/US20210118559A1/en,https://patentimages.storage.googleapis.com/da/7a/2a/4d742cb2064d0e/US20210118559A1-20210422-D00000.png
US-2022310199-A1,Methods for identifying chromosomal spatial instability such as homologous repair deficiency in low coverage next- generation sequencing data ,Sophia Genetics S.A.,"Christian Pozzorini, Gregoire Andre, Tommaso Coletta, Zhenyu XU",2020-07-27,2022-03-07,2022-09-29,,https://patents.google.com/patent/US20220310199A1/en,https://patentimages.storage.googleapis.com/be/31/e0/717de20e9788cc/US20220310199A1-20220929-D00000.png
US-2020176098-A1,"Clinical Concept Identification, Extraction, and Prediction System and Related Methods ",Tempus Labs,"Michael Lucas, Jonathan Ozeran, Jason Taylor, Louis FERNANDES",2018-12-03,2019-12-03,2020-06-04,,https://patents.google.com/patent/US20200176098A1/en,https://patentimages.storage.googleapis.com/a4/d8/80/800f555ade5361/US20200176098A1-20200604-D00000.png
US-11651442-B2,"Mobile supplementation, extraction, and analysis of health records ","Tempus Labs, Inc.","Shane Colley, Nike Beaubier, Robert Tell, Eric Lefkofsky",2018-10-17,2022-02-25,2023-05-16,2023-05-16,https://patents.google.com/patent/US11651442B2/en,https://patentimages.storage.googleapis.com/a8/dd/11/e3df55dc1d6139/US11651442-20230516-D00000.png
