search URL:,https://patents.google.com/?q=%22bayesian%22+AND+%28%22variant+interpretation%22+OR+%22variant+classification%22+OR+%22genomic+diagnosis%22%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2024219712-A1,Interpretation of genetic and genomic variants via an integrated computational and experimental deep mutational learning framework ,Invitae Corporation,"Carlos L. Araya, Alexandre Colavin, Samskruthi Reddy Padigepati, Jason A. Reuter",2017-06-19,2024-09-13,2024-10-03,,https://patents.google.com/patent/AU2024219712A1/en,
US-2019189242-A1,Machine learning system and method for somatic mutation discovery ,Personal Genome Diagnostics Inc.,"Samuel V. Angiuoli, Derrick Wood",2017-12-18,2018-12-12,2019-06-20,,https://patents.google.com/patent/US20190189242A1/en,https://patentimages.storage.googleapis.com/73/bb/b1/e469390a6cea01/US20190189242A1-20190620-D00000.png
US-2024371472-A1,Methods of detecting somatic and germline variants in impure tumors ,The Translational Genomics Research Institute,"Rebecca Halperin, David Craig",2017-02-01,2024-05-06,2024-11-07,,https://patents.google.com/patent/US20240371472A1/en,https://patentimages.storage.googleapis.com/1e/46/a9/91c2a4a5d7597f/US20240371472A1-20241107-D00000.png
EP-2761520-B1,Diagnostic method and system for genetic disease search based on the phenotype and the genome of a human subject ,"Trakadis, John",John TRAKADIS,2011-09-26,2012-09-26,2020-05-13,2020-05-13,https://patents.google.com/patent/EP2761520B1/en,https://patentimages.storage.googleapis.com/b5/9d/18/70c1594ed728bd/imgf0001.png
US-9834819-B2,Methods for diagnosing autism spectrum disorders ,Laboratory Corporation Of America Holdings,"David Michael Margulies, Mark Firman Bear",2009-09-08,2014-03-17,2017-12-05,2017-12-05,https://patents.google.com/patent/US9834819B2/en,https://patentimages.storage.googleapis.com/7f/7b/78/0370dae3123ec9/US09834819-20171205-D00001.png
US-11629385-B2,"Tumor organoid culture compositions, systems, and methods ","Tempus Labs, Inc.","Ameen Salahudeen, Verónica Sánchez Freire, Brandon L. Mapes",2019-11-22,2019-11-22,2023-04-18,2023-04-18,https://patents.google.com/patent/US11629385B2/en,https://patentimages.storage.googleapis.com/68/2d/69/fb4bcd859fd7a0/US11629385-20230418-D00001.png
US-2022351805-A1,Systems and methods for detecting cellular pathway dysregulation in cancer specimens ,"Tempus Labs, Inc.","Nike T. Beaubier, Joshua SK Bell, Catherine Igartua, Hailey B. Lefkofsky, Lee F. Langer, Joshua Drews",2019-08-16,2022-05-20,2022-11-03,,https://patents.google.com/patent/US20220351805A1/en,https://patentimages.storage.googleapis.com/24/d5/e1/5bcf1d4d1f56a9/US20220351805A1-20221103-D00001.png
US-10196687-B2,Molecular diagnosis and typing of lung cancer variants ,University Of North Carolina At Chapel Hill,"David N. Hayes, Charles M. Perou, Philip Bernard",2007-06-01,2016-11-22,2019-02-05,2019-02-05,https://patents.google.com/patent/US10196687B2/en,https://patentimages.storage.googleapis.com/a1/3b/08/b409bcbb8a4783/US10196687-20190205-D00001.png
CA-2996702-C,Systems and methods for high-accuracy variant calling ,"Nantomics, Llc, John Zachary Sanborn",John Zachary Sanborn,2015-08-25,2016-08-25,2020-07-14,2020-07-14,https://patents.google.com/patent/CA2996702C/en,
US-2020334762-A1,"Vehicle operation analytics, feedback, and enhancement ","Speedgauge,Inc","Christopher J. Carver, Jonathan Hubbard",2014-04-15,2020-04-17,2020-10-22,,https://patents.google.com/patent/US20200334762A1/en,https://patentimages.storage.googleapis.com/63/6e/5a/06306966d90491/US20200334762A1-20201022-D00000.png
US-2019005588-A1,Enhancement using analytics based on vehicle kinematic data ,"Speedgauge, Inc.","Christopher J. Carver, Kevin Wolsey",2014-04-15,2018-08-14,2019-01-03,,https://patents.google.com/patent/US20190005588A1/en,https://patentimages.storage.googleapis.com/ed/ee/7e/e7118be9625173/US20190005588A1-20190103-D00000.png
US-8126825-B2,Method for visualizing feature ranking of a subset of features for classifying data using a learning machine ,Health Discovery Corporation,Isabelle Guyon,1998-05-01,2011-04-04,2012-02-28,2012-02-28,https://patents.google.com/patent/US8126825B2/en,https://patentimages.storage.googleapis.com/84/a1/e4/9f09ab3de496f2/US08126825-20120228-D00000.png
US-7542947-B2,Data mining platform for bioinformatics and other knowledge discovery ,Health Discovery Corporation,"Isabelle Guyon, Edward P. Reiss, René Doursat, Jason Aaron Edward Weston, David D. Lewis",1998-05-01,2007-10-30,2009-06-02,2009-06-02,https://patents.google.com/patent/US7542947B2/en,https://patentimages.storage.googleapis.com/6e/70/7a/7a0c0e60633ea3/US07542947-20090602-D00000.png
US-8744982-B2,Gene-specific prediction ,University Of Utah Research Foundation,"David K. Crockett, Perry G. Ridge",2011-05-12,2012-05-14,2014-06-03,2014-06-03,https://patents.google.com/patent/US8744982B2/en,https://patentimages.storage.googleapis.com/d5/69/a4/1548e6dfaa4f4f/US08744982-20140603-D00000.png
US-2015178445-A1,Detecting variants in sequencing data and benchmarking ,"The Broad Institute, Inc.","Kristian Cibulskis, Gad Getz, Michael Lawrence",2012-08-28,2015-02-27,2015-06-25,,https://patents.google.com/patent/US20150178445A1/en,https://patentimages.storage.googleapis.com/76/25/4e/42c9c7cf1aecc3/US20150178445A1-20150625-D00000.png
US-2016314245-A1,"Device, system and method for assessing risk of variant-specific gene dysfunction ","Genepeeks, Inc.","Maxwell J. SILVER, Ari Julian SILVER, Lee M. SILVER, Nigel DELANEY",2014-06-17,2016-04-22,2016-10-27,,https://patents.google.com/patent/US20160314245A1/en,https://patentimages.storage.googleapis.com/50/d7/c9/11e5add4fb2c34/US20160314245A1-20161027-D00000.png
JP-2020524350-A5,Patent JP2020524350A5 ,,,,2018-06-19,2021-08-05,,https://patents.google.com/patent/JP2020524350A5/en,
US-2020395097-A1,Pan-cancer model to predict the pd-l1 status of a cancer cell sample using rna expression data and other patient data ,"Tempus Labs, Inc.","Alan Chang, Denise Lau, Aly Azeem Khan",2019-05-30,2020-05-29,2020-12-17,,https://patents.google.com/patent/US20200395097A1/en,https://patentimages.storage.googleapis.com/7d/0f/fe/e6f377c701a95f/US20200395097A1-20201217-D00000.png
US-2022215900-A1,Systems and methods for joint low-coverage whole genome sequencing and whole exome sequencing inference of copy number variation for clinical diagnostics ,"Tempus Labs, Inc.",Francisco M. De La Vega,2021-01-07,2022-01-07,2022-07-07,,https://patents.google.com/patent/US20220215900A1/en,https://patentimages.storage.googleapis.com/18/ad/5a/45ce4a992e7aa1/US20220215900A1-20220707-D00000.png
US-2017061070-A1,Method and process for whole genome sequencing for genetic disease diagnosis ,The Children's Mercy Hospital,"Stephen Kingsmore, Laurel K. Willig, Neil Miller",2014-02-13,2015-02-13,2017-03-02,,https://patents.google.com/patent/US20170061070A1/en,https://patentimages.storage.googleapis.com/0e/0a/f1/ab69905ca8bdf2/US20170061070A1-20170302-D00001.png
CN-102369531-B,Method for selecting statistically validated candidate genes ,先正达参股股份有限公司,"V.K.基肖尔, 郭志刚, 李珉, 王道龙, L.A.谷迪尔莱兹罗贾斯, J.D.V.克拉克, J.拜勒姆",2009-02-06,2010-02-05,2015-03-18,2015-03-18,https://patents.google.com/patent/CN102369531B/en,
US-2016371431-A1,Methods of predicting pathogenicity of genetic sequence variants ,"Counsyl, Inc.","Imran Saeedul HAQUE, Eric Andrew EVANS, Sharad Mandyam VIKRAM, Matthew David RASMUSSEN",2015-06-22,2016-06-22,2016-12-22,,https://patents.google.com/patent/US20160371431A1/en,https://patentimages.storage.googleapis.com/74/ee/cc/f9aa4a5bf5211e/US20160371431A1-20161222-D00000.png
KR-20190026837-A,Methods for fragmentation profiling of cell-free nucleic acids ,"가던트 헬쓰, 인크.",다이아나 아브두에바,2016-07-06,2017-07-06,2019-03-13,,https://patents.google.com/patent/KR20190026837A/en,https://patentimages.storage.googleapis.com/6c/bc/6b/e446aaefbf0950/pct00003.png
US-2020097835-A1,"Device, system and method for assessing risk of variant-specific gene dysfunction ","Ancestry.Com Dna, Llc","Ari Julian SILVER, Velina Kozareva, Maxwell J. SILVER, Nigel DELANEY, Lee M. SILVER",2014-06-17,2019-09-23,2020-03-26,,https://patents.google.com/patent/US20200097835A1/en,https://patentimages.storage.googleapis.com/01/ba/2c/f1e5b5f4ab61f5/US20200097835A1-20200326-D00000.png
CN-109414119-A,System and method for the computer vision driving application in environment ,格拉班谷公司,"威廉·格拉泽, 布莱恩·范·奥斯多",2016-05-09,2017-05-09,2019-03-01,,https://patents.google.com/patent/CN109414119A/en,
KR-20180132727-A,Gene variant phenotype analysis system and use method ,리제너론 파마슈티칼스 인코포레이티드,"제프리 레이드, 옴리 가테스맨, 루카스 하베거, 브라이언 카제스, 제프리 스테플스, 이반 맥스웰",2016-03-29,2017-03-29,2018-12-12,,https://patents.google.com/patent/KR20180132727A/en,https://patentimages.storage.googleapis.com/3e/90/05/6652823fcfb7b9/pct00011.png
US-2019325988-A1,Method and system for rapid genetic analysis ,Rady Children's Hospital Research Center,"Stephen Kingsmore, Narayanan Veeraraghavan, Michelle Marie Clark",2018-04-18,2019-04-18,2019-10-24,,https://patents.google.com/patent/US20190325988A1/en,https://patentimages.storage.googleapis.com/a5/62/ae/330f2ce729a085/US20190325988A1-20191024-D00001.png
US-2023050513-A1,Screening system and method for acquiring and processing genomic information for generating gene variant interpretations ,Congenica Ltd.,"Sandro MORGANELLA, Yacine Dahman, Laura Ponting, Emily Mackay",2020-01-16,2021-01-15,2023-02-16,,https://patents.google.com/patent/US20230050513A1/en,https://patentimages.storage.googleapis.com/c7/f8/89/65bea83b93e59f/US20230050513A1-20230216-D00000.png
