search URL:,https://patents.google.com/?q=%22genetic+diagnosis%22+AND+%28%22disease+probability%22+OR+%22variant+probability%22+OR+%22variant+occurrence+probability%22+OR+%22disease+likelihood%22%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
WO-2018051072-A1,Methods and apparatus for identifying one or more genetic variants associated with disease in an individual or group of related individuals ,Genomics Plc,"Zhihao DING, Benjamin FROT, Luke JOSTINS, Gilean Mcvean, Michael Simpson, Susanne WELLER",2016-09-16,2017-09-12,2018-03-22,,https://patents.google.com/patent/WO2018051072A1/en,
JP-6297972-B2,Sequencing small quantities of complex nucleic acids ,コンプリート・ジェノミックス・インコーポレイテッド,"ラドジェ・ドルマナック, ブロック・エイ・ピータース, バーラム・ガファルザデー・ケルマニ",2011-04-14,2012-04-16,2018-03-20,2018-03-20,https://patents.google.com/patent/JP6297972B2/en,
CN-107368705-B,Methods and computer systems for analyzing genomic DNA of organisms ,完整基因有限公司,"R.卓马纳克, B.A.彼得斯, B.G.科尔马尼",2011-04-14,2012-04-13,2021-07-13,2021-07-13,https://patents.google.com/patent/CN107368705B/en,https://patentimages.storage.googleapis.com/6f/0a/2c/06a7917313e0f7/HDA0001300755830000011.png
WO-2019209888-A1,Systems and methods for complex biomolecule sampling and biomarker discovery ,"Seer, Inc.","Philip Ma, Theo PLATT, Omid Farokhzad, Gregory Charles TROIANO",2018-04-23,2019-04-23,2019-10-31,,https://patents.google.com/patent/WO2019209888A1/en,
WO-2022123067-A2,Method and apparatus for classification and/or prioritization of genetic variants ,Nostos Genomics Gmbh,"David Alberto NEVILLE, Rocio ACUNA-HIDALGO",2020-12-10,2021-12-10,2022-06-16,,https://patents.google.com/patent/WO2022123067A2/en,
WO-2020049558-A1,Method and system for identifying gene disorder in maternal blood ,Ramot At Tel-Aviv University Ltd.,"Noam Shomron, Tom RABINOWITZ",2018-09-03,2019-09-03,2020-03-12,,https://patents.google.com/patent/WO2020049558A1/en,
CA-3230787-A1,Method for the diagnosis and/or classification of a disease in a subject ,"Franz-Josef Muller, Bjorn Fabian Brandl, Bernhard Schuldt, Christian ROHRANDT, Alena Van Bommel, Helene KRETZMER, Christian-Albrechts-Universitat Zu Kiel, Fachhochschule Kiel, Freie Universitat Berlin, Max-Planck-Gesellschaft Zur Forderung Der Wissenschaften E.V.","Franz-Josef Muller, Bjorn Fabian Brandl, Bernhard Schuldt, Christian ROHRANDT, Alena Van Bommel, Helene KRETZMER",2021-09-06,2022-09-06,2023-03-09,,https://patents.google.com/patent/CA3230787A1/en,
US-2020294672-A1,Automatic re-analysis of genetic testing data ,Georgetown University,"Abhishek Pandey, Howard Federoff, Ophir Frieder",2014-06-09,2020-04-07,2020-09-17,,https://patents.google.com/patent/US20200294672A1/en,https://patentimages.storage.googleapis.com/fc/17/ea/2d6d83f94667a1/US20200294672A1-20200917-D00000.png
CN-114728069-B,Polygenic risk score for in vitro fertilization ,迈欧米公司,"A·库马尔, K·M·伊姆, E·比彻, L·加尔哈多, A·拉奥, P·吴, M·拉比诺维茨",2019-09-30,2020-09-30,2025-04-08,2025-04-08,https://patents.google.com/patent/CN114728069B/en,
US-2019206571-A1,Systems and methods for recommending disease-related content based on a disease associated with a user ,"Rovi Guides, Inc.","Adam Bates, Jesse F. Patterson, Mark K. Berner, Eric Dorsey, David W. Chamberlin, Paul Stevens, Herbert A. Waterman",2017-12-28,2017-12-28,2019-07-04,,https://patents.google.com/patent/US20190206571A1/en,https://patentimages.storage.googleapis.com/f2/03/64/5166142d80e171/US20190206571A1-20190704-D00001.png
CN-106701709-B,ATM gene mutant and application thereof ,"中南大学湘雅医院, 深圳华大基因股份有限公司","江泓, 陈召, 师玉亭, 唐北沙, 肖晶晶, 管李萍, 王俊",2013-05-20,2013-05-20,2020-02-07,2020-02-07,https://patents.google.com/patent/CN106701709B/en,https://patentimages.storage.googleapis.com/ae/8b/e9/977ac626d3a79e/HDA0001176025390000011.png
WO-2007029498-A1,Patient information management system and its method ,Signpost Corporation,"Atsuhiko Kurokawa, Yuuri Arakawa, Nana Ozaki, Mutsuhisa Fukui",2005-09-06,2006-08-23,2007-03-15,,https://patents.google.com/patent/WO2007029498A1/en,
CN-115524431-A,"A kind of biomarker of PWS syndrome and its application, kit and data processing method ",广东省妇幼保健院,"侯亚萍, 尹爱华, 张彦, 欧阳海梅, 罗娅莎, 陈秀文, 郭晶晶",2022-08-19,2022-08-19,2022-12-27,,https://patents.google.com/patent/CN115524431A/en,https://patentimages.storage.googleapis.com/29/4c/9c/c5e61cc57da0ca/HDA0003806952140000011.png
JP-6963271-B2,Genetic diagnosis of canine hereditary gastrointestinal neoplasia ,"国立大学法人東海国立大学機構, 株式会社ケーナインラボ","暁大 平田, 直仁 西飯, 洋樹 酒井, 崇 森",2017-01-20,2017-01-20,2021-11-05,2021-11-05,https://patents.google.com/patent/JP6963271B2/en,https://patentimages.storage.googleapis.com/39/93/9a/c804a54949cd8a/0006963271-2.png
JP-2004215517-A,"Alzheimer's disease-related gene, protein and their uses ","Chubu National Hospital, 国立療養所中部病院長, Hiroto Komano, 宏人 駒野, Takeda Chem Ind Ltd, 武田薬品工業株式会社","Hiroto Komano, 宏人 駒野, Asano Asami, 麻乃 浅見",2003-01-09,2003-01-09,2004-08-05,,https://patents.google.com/patent/JP2004215517A/en,
