search URL:,https://patents.google.com/?q=%22prior+probability%22+AND+%28%22genetic+variant%22+OR+%22genome-wide%22+OR+%22genetic+diagnosis%22%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2020407791-A1,Tissue molecular signatures of kidney transplant rejections ,"The Scripps Research Institute, Northwestern University","Daniel R. Salomon, Sunil Kurian, Michael M. Abecassis",2013-09-09,2020-01-24,2020-12-31,,https://patents.google.com/patent/US20200407791A1/en,https://patentimages.storage.googleapis.com/5c/d0/3d/6f212d6dceba12/US20200407791A1-20201231-D00000.png
AU-2020363787-A1,Methods and compositions for analyzing nucleic acid ,"Claret Bioscience, Llc",Richard Edward GREEN,2019-10-09,2020-10-08,2022-04-21,,https://patents.google.com/patent/AU2020363787A1/en,
WO-2022076574-A1,Methods and compositions for analyzing nucleic acid ,"Claret Bioscience, Llc",Charles VASKE,2020-10-08,2021-10-06,2022-04-14,,https://patents.google.com/patent/WO2022076574A1/en,
EP-3825417-A2,Tissue molecular signatures of kidney transplant rejections ,"The Scripps Research Institute, Northwestern University","Daniel Salomon, Sunil KURIAN, Michael Abecassis",2014-05-22,2015-05-22,2021-05-26,,https://patents.google.com/patent/EP3825417A2/en,https://patentimages.storage.googleapis.com/88/88/aa/2adc28858d5383/imgf0001.png
US-9940434-B2,System for genome analysis and genetic disease diagnosis ,The Children's Mercy Hospital,"Stephen Kingsmore, Neil Miller, Carol Saunders, Sarah Soden, Emily G. Farrow",2012-09-27,2013-09-27,2018-04-10,2018-04-10,https://patents.google.com/patent/US9940434B2/en,https://patentimages.storage.googleapis.com/30/f3/6e/33869260a2e267/US09940434-20180410-D00000.png
WO-2017139492-A1,Systems and methods for analyzing nucelic acids ,"Toma Biosciences, Inc.",Francisco M. De La Vega,2016-02-09,2017-02-09,2017-08-17,,https://patents.google.com/patent/WO2017139492A1/en,
US-2015337388-A1,Methods and compositions for identifying global microsatellite instability and for characterizing informative microsatellite loci ,"Virginia Tech Intellectual Properties, Inc.","Harold R. Garner, JR., Lauren J. McIver, Hongseok Tae",2012-12-17,2013-12-17,2015-11-26,,https://patents.google.com/patent/US20150337388A1/en,https://patentimages.storage.googleapis.com/71/d1/f4/762a5b300573bf/US20150337388A1-20151126-D00001.png
WO-2013173774-A2,Molecular inversion probes ,"Pathogenica, Inc.","Philip Rolfe, Alexander SHEH",2012-05-18,2013-05-17,2013-11-21,,https://patents.google.com/patent/WO2013173774A2/en,
JP-6430998-B2,System and method for cleaning and using genetic data for making predictions ,"ナテラ， インコーポレイテッド, ナテラ，  インコーポレイテッド","ラビノビッツ マシュー, ラビノビッツ マシュー, バンジェビック ミレナ, バンジェビック ミレナ, ポール デムコ ザカリー, ポール  デムコ ザカリー, スコット ジョンソン デイビッド, スコット  ジョンソン デイビッド",2005-11-26,2016-06-13,2018-11-28,2018-11-28,https://patents.google.com/patent/JP6430998B2/en,https://patentimages.storage.googleapis.com/ac/38/2f/415a0fa60e22cd/0006430998-136.png
CN-106661628-A,Gene expression profiles associated with sub-clinical kidney transplant rejection ,"斯克利普斯研究院, 西北大学","丹尼尔·所罗门, 约翰·弗里德瓦尔德, 苏尼尔·库里安, 迈克尔·阿贝卡西斯, 史蒂文·黑德, 菲利普·托德·奥尔杜科尼恩",2014-05-22,2015-05-22,2017-05-10,,https://patents.google.com/patent/CN106661628A/en,
EP-1934615-B1,Methods and materials for identifying the origin of a carcinoma of unknown primary origin ,"Janssen Diagnostics, LLC","Yixin Wang, Abhijit Mazumder, Dmitri Talantov, Timothy Jatkoe, Jonathan Baden",2005-09-19,2006-09-19,2014-06-04,2014-06-04,https://patents.google.com/patent/EP1934615B1/en,https://patentimages.storage.googleapis.com/83/67/1d/706b0456918d8a/imgf0001.png
US-2021265061-A1,Methods and systems for determining risk of a pregnancy complication occurring ,Adelaide Research & Innovation Pty Ltd.,"Claire Trelford Roberts, Shalem Yiner-Lee Leemaqz, Gustaaf Albert Dekker",2015-03-23,2020-12-02,2021-08-26,,https://patents.google.com/patent/US20210265061A1/en,https://patentimages.storage.googleapis.com/3a/67/78/c1ed38410020b0/US20210265061A1-20210826-D00000.png
CN-105555968-B,Methods and processes for non-invasive assessment of genetic variation ,塞昆纳姆股份有限公司,"赵晨, Z·扎库拉, C·德兹尤, 金成均, A·玛兹卢姆, G·汉纳姆, M·埃里希",2013-05-24,2014-05-23,2020-10-23,2020-10-23,https://patents.google.com/patent/CN105555968B/en,https://patentimages.storage.googleapis.com/17/64/1f/3e824c6467bd45/HDA0000914062310000011.png
US-11657900-B2,Methods for identifying DNA copy number changes using hidden markov model based estimations ,"Affymetrix, Inc.",Srinka Ghosh,2007-06-20,2019-01-10,2023-05-23,2023-05-23,https://patents.google.com/patent/US11657900B2/en,https://patentimages.storage.googleapis.com/6a/e7/1f/0d71f34ec0713d/US11657900-20230523-D00001.png
JP-7667825-B2,Determination of chromosome representation ,セクエノム， インコーポレイテッド,"ザオ チェン, デチウ コスミン",2014-05-30,2023-08-01,2025-04-23,2025-04-23,https://patents.google.com/patent/JP7667825B2/en,https://patentimages.storage.googleapis.com/24/62/af/7331d7bab30a91/0007667825000016.png
US-10747899-B2,Techniques for determining whether an individual is included in ensemble genomic data ,The Board Of Trustees Of The Leland Stanford Junior University,"Suyash Shringarpure, Carlos D. Bustamante",2015-10-07,2016-10-06,2020-08-18,2020-08-18,https://patents.google.com/patent/US10747899B2/en,https://patentimages.storage.googleapis.com/9d/17/1b/094d45672f80ca/US10747899-20200818-D00000.png
CN-108603229-A,method and system for high-fidelity sequencing ,格瑞尔公司,"奥利弗·克劳德·维恩, 亚历山大·蒂洛·狄尔泰",2016-01-22,2017-01-20,2018-09-28,,https://patents.google.com/patent/CN108603229A/en,
EP-3465507-B1,Genetic multi-region joint detection and variant calling ,"Illumina, Inc.","Pieter Van Rooyen, Michael Ruehle, Rami Mehio, Gavin STONE, Mark Hahm, Eric Ojard, Amnon Ptashek",2016-06-07,2017-06-07,2021-09-15,2021-09-15,https://patents.google.com/patent/EP3465507B1/en,https://patentimages.storage.googleapis.com/7a/0d/3b/49c5b14ee2181b/imgf0001.png
US-10083273-B2,System and method for cleaning noisy genetic data and determining chromosome copy number ,"Natera, Inc.","Matthew Rabinowitz, Milena Banjevic, Zachary Demko, David Johnson, Dusan Kijacic, Dimitri Petrov, Joshua Sweetkind-Singer, Jing Xu",2005-07-29,2013-07-23,2018-09-25,2018-09-25,https://patents.google.com/patent/US10083273B2/en,https://patentimages.storage.googleapis.com/ed/90/b3/b63c78388f47c1/US10083273-20180925-D00001.png
CN-110121747-B,"Bioinformatics systems, devices, and methods for performing secondary and/or tertiary processing ",伊鲁米那股份有限公司,"马克·大卫·哈姆, 雅各布斯·德比尔, 瓦伦·贾因, 拉米·米霍奥, 埃里克·奥贾尔德, 迈克尔·吕勒, 阿姆农·普塔什伊克, 塞维琳·卡特雷尤斯, 阿伦·维斯夫纳特赫",2016-10-28,2017-10-27,2024-05-28,2024-05-28,https://patents.google.com/patent/CN110121747B/en,
US-10081839-B2,System and method for cleaning noisy genetic data and determining chromosome copy number ,"Natera, Inc","Matthew Rabinowitz, Milena Banjevic, Zachary Demko, David Johnson, Dusan Kijacic, Dimitri Petrov, Joshua Sweetkind-Singer, Jing Xu",2005-07-29,2017-01-23,2018-09-25,2018-09-25,https://patents.google.com/patent/US10081839B2/en,https://patentimages.storage.googleapis.com/53/b1/40/340b374da8dc38/US10081839-20180925-D00001.png
US-11111543-B2,System and method for cleaning noisy genetic data and determining chromosome copy number ,"Natera, Inc.","Matthew Rabinowitz, Milena Banjevic, Zachary Demko, David Johnson, Dusan Kijacic, Dimitri Petrov, Joshua Sweetkind-Singer, Jing Xu",2005-07-29,2020-02-27,2021-09-07,2021-09-07,https://patents.google.com/patent/US11111543B2/en,https://patentimages.storage.googleapis.com/6c/e0/ca/17a60573cfb3e1/US11111543-20210907-D00001.png
US-12065703-B2,System and method for cleaning noisy genetic data and determining chromosome copy number ,"Natera, Inc.","Matthew Rabinowitz, Milena Banjevic, Zachary Demko, David Johnson, Dusan Kijacic, Dimitri Petrov, Joshua Sweetkind-Singer, Jing Xu",2005-07-29,2023-03-13,2024-08-20,2024-08-20,https://patents.google.com/patent/US12065703B2/en,https://patentimages.storage.googleapis.com/65/b2/a9/3907d7d063de55/US12065703-20240820-D00001.png
US-2024371472-A1,Methods of detecting somatic and germline variants in impure tumors ,The Translational Genomics Research Institute,"Rebecca Halperin, David Craig",2017-02-01,2024-05-06,2024-11-07,,https://patents.google.com/patent/US20240371472A1/en,https://patentimages.storage.googleapis.com/1e/46/a9/91c2a4a5d7597f/US20240371472A1-20241107-D00000.png
CA-2821906-C,Methods for non-invasive prenatal paternity testing ,"Natera, Inc., Allison Ryan, Styrmir Sigurjonsson, Milena Banjevic, George Gemelos, Matthew Hill, Johan Baner, Matthew Rabinowitz, Zachary Demko","Allison Ryan, Styrmir Sigurjonsson, Milena Banjevic, George Gemelos, Matthew Hill, Johan Baner, Matthew Rabinowitz, Zachary Demko",2010-12-22,2011-12-22,2020-08-25,2020-08-25,https://patents.google.com/patent/CA2821906C/en,
US-2024060124-A1,Methods for amplification of cell-free dna using ligated adaptors and universal and inner target-specific primers for multiplexed nested pcr ,"Natera, Inc.","Allison Ryan, Styrmir Sigurjonsson, Milena Banjevic, George Gemelos, Matthew Hill, Johan Baner, Matthew Rabinowitz, Zachary Demko",2010-05-18,2023-07-28,2024-02-22,,https://patents.google.com/patent/US20240060124A1/en,https://patentimages.storage.googleapis.com/1a/7b/94/25b744684bcf3c/US20240060124A1-20240222-D00001.png
US-11326208-B2,Methods for nested PCR amplification of cell-free DNA ,"Natera, Inc.","Matthew Rabinowitz, Matthew Hill, Bernhard Zimmermann, Johan Baner, George Gemelos, Milena Banjevic, Allison Ryan, Styrmir Sigurjonsson, Zachary Demko",2010-05-18,2021-05-14,2022-05-10,2022-05-10,https://patents.google.com/patent/US11326208B2/en,https://patentimages.storage.googleapis.com/2d/63/23/c0cdc36d2f4473/US11326208-20220510-D00001.png
JP-2024086739-A,Methods for analyzing circulating cells ,"ナテラ， インコーポレイテッド, Natera Inc","ブレヴノフ，マキシム, Brevnov Maxim, リバーズ，エリザベス, Rivers Elizabeth",2018-12-17,2024-03-26,2024-06-28,,https://patents.google.com/patent/JP2024086739A/en,
EP-3939046-B1,Methods and compositions for imputing or predicting genotype or phenotype ,"Pioneer Hi-Bred International, Inc.","Andrew BAUMGARTEN, Justin P. Gerke, Eli RODGERS-MELNICK",2019-03-11,2020-03-10,2025-01-15,2025-01-15,https://patents.google.com/patent/EP3939046B1/en,https://patentimages.storage.googleapis.com/6d/64/4c/622207cefd1e07/imgf0001.png
US-2019171963-A1,"Bioinformatics Systems, Apparatuses, and Methods Executed on a Quantum Processing Platform ","Edico Genome, Corp.",Pieter Van Rooyen,2017-02-23,2018-08-31,2019-06-06,,https://patents.google.com/patent/US20190171963A1/en,https://patentimages.storage.googleapis.com/13/4c/0e/141db6bc9c38e3/US20190171963A1-20190606-D00000.png
