search URL:,https://patents.google.com/?q=%22allele+frequency%22+AND+%28%22disease+probability%22+OR+%22variant+scoring%22+OR+%22genetic+diagnosis%22%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
JP-6430998-B2,System and method for cleaning and using genetic data for making predictions ,"ナテラ， インコーポレイテッド, ナテラ，  インコーポレイテッド","ラビノビッツ マシュー, ラビノビッツ マシュー, バンジェビック ミレナ, バンジェビック ミレナ, ポール デムコ ザカリー, ポール  デムコ ザカリー, スコット ジョンソン デイビッド, スコット  ジョンソン デイビッド",2005-11-26,2016-06-13,2018-11-28,2018-11-28,https://patents.google.com/patent/JP6430998B2/en,https://patentimages.storage.googleapis.com/ac/38/2f/415a0fa60e22cd/0006430998-136.png
CA-2731991-C,Methods for allele calling and ploidy calling ,"Gene Security Network, Inc., Matthew Rabinowitz, George Gemelos, Milena Banjevic, Allison Ryan, Joshua Sweetkind-Singer, Natera, Inc.","Matthew Rabinowitz, George Gemelos, Milena Banjevic, Allison Ryan, Joshua Sweetkind-Singer",2008-08-04,2009-08-04,2021-06-08,2021-06-08,https://patents.google.com/patent/CA2731991C/en,
US-2020027557-A1,Multimodal modeling systems and methods for predicting and managing dementia risk for individuals ,"Human Longevity, Inc.","David Stanley Karow, Naisha Shah, Christine Menking Swisher, Natalie Marie Schenker-Ahmed, Peter GARST, Ilan SHOMORONY",2018-02-28,2019-02-27,2020-01-23,,https://patents.google.com/patent/US20200027557A1/en,https://patentimages.storage.googleapis.com/f9/d7/7e/4bcc1443dc123a/US20200027557A1-20200123-D00000.png
EP-4569133-A1,Methods for reliable noninvasive preimplantation genetic testing ,"Beijing Changping Laboratory, Peking University","Lei Huang, Hao GE, Ruiqi Zhang, Xiaoliang Xie",2023-10-20,2023-10-20,2025-06-18,,https://patents.google.com/patent/EP4569133A1/en,
RU-2671980-C2,Methods for non-invasive prenatal ploidy calling ,"Натера, Инк.","Мэтью РАБИНОВИТЦ, Джордж ДЖЕМЕЛОС, Милена БАНДЖЕВИК, Эллисон РАЙАН, Закари ДЕМКО, Мэтью ХИЛЛ, Бернхард ЗИММЕРМАН, Йохан БАНЕР",2011-02-09,2011-11-18,2018-11-08,2018-11-08,https://patents.google.com/patent/RU2671980C2/en,https://patentimages.storage.googleapis.com/25/99/39/40b654fab400b1/00000039.png
US-10597724-B2,System and method for cleaning noisy genetic data from target individuals using genetic data from genetically related individuals ,"Natera, Inc.","Matthew Rabinowitz, Milena Banjevic, Zachary Demko, David Johnson",2005-11-26,2019-05-14,2020-03-24,2020-03-24,https://patents.google.com/patent/US10597724B2/en,https://patentimages.storage.googleapis.com/ed/7c/d9/373ddd9bd9f4eb/US10597724-20200324-D00001.png
KR-20200017392-A,Methods for detecting alleles associated with cone cornea ,"아벨리노 랩 유에스에이, 인크.","래리 데디오니시오, 타라 무어, 앤드류 네스빗",2017-04-28,2018-04-27,2020-02-18,,https://patents.google.com/patent/KR20200017392A/en,https://patentimages.storage.googleapis.com/ce/6b/37/2571bb7ac20122/pct00002.png
RU-2650790-C2,Highly multiplex pcr methods and compositions ,"Натера, Инк.","Бернхард Циммерманн, Мэттью М. ХИЛЛ, Филипп Гилберт ЛАКРОУТ, Майкл ДОДД",2012-07-24,2012-11-21,2018-04-17,2018-04-17,https://patents.google.com/patent/RU2650790C2/en,https://patentimages.storage.googleapis.com/43/f6/0d/0fddeb6d5316d8/00000040.png
US-8682592-B2,System and method for cleaning noisy genetic data from target individuals using genetic data from genetically related individuals ,"Natera, Inc.","Matthew Rabinowitz, Milena Banjevic, Zachary Demko, David Johnson",2005-11-26,2013-03-11,2014-03-25,2014-03-25,https://patents.google.com/patent/US8682592B2/en,https://patentimages.storage.googleapis.com/ab/ca/19/141f1a40920efa/US08682592-20140325-D00001.png
CN-116134152-A,Method for assessing risk of producing a severe response to coronavirus infection ,基因技术有限公司,"吉莉安·休·迪特, 尼古拉斯·马克·墨菲, 理查德·奥尔曼",2020-05-27,2021-05-26,2023-05-16,,https://patents.google.com/patent/CN116134152A/en,https://patentimages.storage.googleapis.com/4c/a4/6b/e53fccaf1ab8e6/HDA0004036771010000011.png
US-2017044610-A1,Compositions and methods for genetic analysis of embryos ,"Reproductive Genetics and Technology Solutions,LLC",Mark T. Johnson,2013-01-23,2016-06-09,2017-02-16,,https://patents.google.com/patent/US20170044610A1/en,https://patentimages.storage.googleapis.com/c0/58/e0/b30981ce4bb701/US20170044610A1-20170216-D00001.png
US-2007111223-A1,Method for detecting disease-associated mutations ,"Christine Seidman, John Seidman, Hugh Watkins, Anthony Rosenzweig","Christine Seidman, John Seidman, Hugh Watkins, Anthony Rosenzweig",1992-12-11,2006-06-06,2007-05-17,,https://patents.google.com/patent/US20070111223A1/en,https://patentimages.storage.googleapis.com/5e/2a/48/586d7173d92f04/US20070111223A1-20070517-D00001.png
US-2019228836-A1,Systems and methods for predicting genetic diseases ,"SensOmics, Inc.","Sai Zhang, Jingjing Li, Michael P. Snyder",2018-01-15,2019-01-15,2019-07-25,,https://patents.google.com/patent/US20190228836A1/en,https://patentimages.storage.googleapis.com/dd/35/7c/79309753c2409d/US20190228836A1-20190725-D00000.png
RU-2791487-C1,Method for predicting the risk of severe covid-19 in a patient ,"Федеральное государственное бюджетное учреждение ""Центр стратегического планирования и управления медико-биологическими рисками здоровью"" Федерального медико-биологического агентства","Анастасия Николаевна Тараскина, Михаил Вячеславович Иванов, Мария Сергеевна Гусакова, Вероника Вячеславовна Ерёма, Дарья Андреевна Каштанова, Роберт Игоревич Лошкарев, Валерия Михайловна Микова, Ольга Андреевна Игнатьева, Александра Игоревна Акиньшина, Сергей Игоревич Митрофанов, Владимир Сергеевич Юдин, Валентин Владимирович Макаров, Антон Артурович Кескинов, Сергей Михайлович Юдин",,2022-07-18,2023-03-09,2023-03-09,https://patents.google.com/patent/RU2791487C1/en,https://patentimages.storage.googleapis.com/98/cc/a9/45beac0a5fd8f7/00000099.png
ES-2923602-T3,Detection and treatment of diseases showing cellular heterogeneity of disease and systems and methods for communicating test results ,Guardant Health Inc,"Helmy Eltoukhy, Amirali Talasaz, Bahram Kermani, Nnamdi Ihuegbu",2014-12-31,2015-12-28,2022-09-28,2022-09-28,https://patents.google.com/patent/ES2923602T3/en,
