search URL:,https://patents.google.com/?q=%28%22beta+distribution%22+OR+%22beta-binomial%22+OR+%22simulation%22%29+AND+%28%22genetic+variant%22+OR+%22genetic+diagnosis%22%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2022200054-A1,A Method For Detecting A Genetic Variant ,Cancer Research Technology Limited,"Tim FORSHEW, Francesco MARASS, Muhammed MURTAZA, Nitzan Rosenfeld",2014-07-18,2022-01-06,2022-02-03,,https://patents.google.com/patent/AU2022200054A1/en,
EP-3134541-B1,Detecting copy number variations (cnv) of chromosomal segments in cancer ,"Natera, Inc.","Joshua Babiarz, Tudor Pompiliu CONSTANTIN, Lane A. EUBANK, George Gemelos, Matthew Micah HILL, Huseyin Eser KIRKIZLAR, Matthew Rabinowitz, Onur Sakarya, Styrmir Sigurjonsson, Bernhard Zimmerman",2014-04-21,2015-04-21,2020-08-19,2020-08-19,https://patents.google.com/patent/EP3134541B1/en,https://patentimages.storage.googleapis.com/a5/3b/4e/1374cd2ae583ef/imgf0001.png
US-10262755-B2,Detecting cancer mutations and aneuploidy in chromosomal segments ,"Natera, Inc.","Joshua Babiarz, Tudor Pompiliu Constantin, Lane A. Eubank, George Gemelos, Matthew Micah Hill, Huseyin Eser Kirkizlar, Matthew Rabinowitz, Onur Sakarya, Styrmir Sigurjonsson, Bernhard Zimmermann",2014-04-21,2015-10-14,2019-04-16,2019-04-16,https://patents.google.com/patent/US10262755B2/en,https://patentimages.storage.googleapis.com/dc/3f/fe/1ccf29d529dd4c/US10262755-20190416-D00001.png
JP-7608513-B2,Systems and methods for exploiting relatedness in genomic data analysis ,リジェネロン・ファーマシューティカルズ・インコーポレイテッド,"ステープルズ、ジェフリー, ハベガー、ルーカス, リード、ジェフリー",2017-09-07,2023-05-08,2025-01-06,2025-01-06,https://patents.google.com/patent/JP7608513B2/en,
JP-6430998-B2,System and method for cleaning and using genetic data for making predictions ,"ナテラ， インコーポレイテッド, ナテラ，  インコーポレイテッド","ラビノビッツ マシュー, ラビノビッツ マシュー, バンジェビック ミレナ, バンジェビック ミレナ, ポール デムコ ザカリー, ポール  デムコ ザカリー, スコット ジョンソン デイビッド, スコット  ジョンソン デイビッド",2005-11-26,2016-06-13,2018-11-28,2018-11-28,https://patents.google.com/patent/JP6430998B2/en,https://patentimages.storage.googleapis.com/ac/38/2f/415a0fa60e22cd/0006430998-136.png
JP-2024086739-A,Methods for analyzing circulating cells ,"ナテラ， インコーポレイテッド, Natera Inc","ブレヴノフ，マキシム, Brevnov Maxim, リバーズ，エリザベス, Rivers Elizabeth",2018-12-17,2024-03-26,2024-06-28,,https://patents.google.com/patent/JP2024086739A/en,
US-2021355536-A1,Methods for non-invasive prenatal ploidy calling ,"Natera, Inc.","Matthew Rabinowitz, George Gemelos, Milena Banjevic, Allison Ryan, Zachary Demko, Matthew Hill, Bernhard Zimmermann, Johan Baner, Styrmir Sigurjonsson",2010-05-18,2021-07-16,2021-11-18,,https://patents.google.com/patent/US20210355536A1/en,https://patentimages.storage.googleapis.com/a4/a8/87/480059486d3380/US20210355536A1-20211118-D00001.png
US-2022025456-A1,Methods for non-invasive prenatal ploidy calling ,"Natera, Inc.","Matthew Rabinowitz, George Gemelos, Milena Banjevic, Allison Ryan, Zachary Demko, Matthew Hill, Bernhard Zimmermann, Johan Baner, Styrmir Sigurjonsson",2010-05-18,2021-10-05,2022-01-27,,https://patents.google.com/patent/US20220025456A1/en,https://patentimages.storage.googleapis.com/c0/5e/51/0729eb4d1f74d0/US20220025456A1-20220127-D00001.png
US-2019309358-A1,Methods for non-invasive prenatal ploidy calling ,"Natera, Inc.","Matthew Rabinowitz, George Gemelos, Milena Banjevic, Allison Ryan, Zachary Demko, Matthew Hill, Bernhard Zimmermann, Johan Baner",2010-05-18,2019-04-25,2019-10-10,,https://patents.google.com/patent/US20190309358A1/en,https://patentimages.storage.googleapis.com/66/9d/c6/f72f31dcdc0ff1/US20190309358A1-20191010-D00001.png
US-2019264277-A1,Methods for non-invasive prenatal ploidy calling ,"Natera, Inc.","Matthew Rabinowitz, George Gemelos, Milena Banjevic, Allison Ryan, Zachary Demko, Matthew Hill, Bernhard Zimmermann, Johan Baner",2010-05-18,2019-05-14,2019-08-29,,https://patents.google.com/patent/US20190264277A1/en,https://patentimages.storage.googleapis.com/4b/f7/23/d4ea725cfc45d9/US20190264277A1-20190829-D00001.png
