search URL:,https://patents.google.com/?q=%22variant+pathogenicity%22+AND+%28%22machine+learning%22+OR+%22deep+learning%22+OR+%22artificial+intelligence%22%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
JP-7200294-B2,A variant pathogenicity classifier trained to avoid overfitting the location-frequency matrix ,イルミナ インコーポレイテッド,"ホン・ガオ, カイ－ハウ・ファー, サムスクルーティ・レディ・パディゲパティ",2018-10-15,2021-05-19,2023-01-06,2023-01-06,https://patents.google.com/patent/JP7200294B2/en,https://patentimages.storage.googleapis.com/f4/6c/e7/e6c98e0afda47e/0007200294000020.png
US-2022237457-A1,Variant pathogenicity prediction using neural network ,"Illumina, Inc.","Laksshman SUNDARAM, Kai-How FARH, Hong Gao, Samskruthi REDDY PADIGEPATI, Jeremy Francis McRAE",2017-10-16,2022-04-06,2022-07-28,,https://patents.google.com/patent/US20220237457A1/en,https://patentimages.storage.googleapis.com/05/ee/47/0592c2f7f64e72/US20220237457A1-20220728-D00000.png
US-2019266493-A1,Deep Learning-Based Techniques for Pre-Training Deep Convolutional Neural Networks ,"Illumina, Inc.","Hong Gao, Kai-How FARH, Samskruthi REDDY PADIGEPATI",2017-10-16,2019-05-08,2019-08-29,,https://patents.google.com/patent/US20190266493A1/en,https://patentimages.storage.googleapis.com/e8/1e/5f/156115fcc54db0/US20190266493A1-20190829-D00000.png
CN-110914910-B,Splice site classification based on deep learning ,因美纳有限公司,"K·贾加纳坦, K-H·法尔, S·卡拉佐普罗潘吉欧托普卢, J·F·麦克雷",2017-10-16,2018-10-15,2024-12-03,2024-12-03,https://patents.google.com/patent/CN110914910B/en,
US-11367508-B2,Systems and methods for detecting cellular pathway dysregulation in cancer specimens ,"Tempus Labs, Inc.","Nike T. Beaubier, Joshua S K Bell, Catherine Igartua, Hailey B. Lefkofsky, Lee F. Langer, Joshua Drews",2019-08-16,2020-08-14,2022-06-21,2022-06-21,https://patents.google.com/patent/US11367508B2/en,https://patentimages.storage.googleapis.com/4a/74/d8/231621cb62210b/US11367508-20220621-D00001.png
EP-3942072-B1,Training data generation for artificial intelligence-based sequencing ,"Illumina, Inc.","Anindita Dutta, Dorna KASHEFHAGHIGHI, Amirali Kia",2019-03-21,2020-03-21,2023-09-06,2023-09-06,https://patents.google.com/patent/EP3942072B1/en,https://patentimages.storage.googleapis.com/8a/74/0d/bbcb1a8435fdbc/imgf0001.png
US-2020302224-A1,Artificial Intelligence-Based Sequencing ,"Illumina, Inc.","Kishore JAGANATHAN, Anindita DUTTA, Dorna KASHEFHAGHIGHI, John Randall GOBBEL, Amirali KIA",2019-03-21,2020-03-21,2020-09-24,,https://patents.google.com/patent/US20200302224A1/en,https://patentimages.storage.googleapis.com/b2/cd/24/f6e37cbf12159b/US20200302224A1-20200924-D00000.png
US-2023207058-A1,Quality detection of variant calling using a machine learning classifier ,"Illumina, Inc., Illumina Cambridge Limited","Hong Gao, Tobias HAMP, Joshua Goodwin Jon McMaster-Schraiber, Laksshman SUNDARAM, Kai-How FARH",2021-12-29,2022-09-23,2023-06-29,,https://patents.google.com/patent/US20230207058A1/en,https://patentimages.storage.googleapis.com/a4/54/60/78d5c2ef3018a4/US20230207058A1-20230629-D00000.png
US-2016371431-A1,Methods of predicting pathogenicity of genetic sequence variants ,"Counsyl, Inc.","Imran Saeedul HAQUE, Eric Andrew EVANS, Sharad Mandyam VIKRAM, Matthew David RASMUSSEN",2015-06-22,2016-06-22,2016-12-22,,https://patents.google.com/patent/US20160371431A1/en,https://patentimages.storage.googleapis.com/74/ee/cc/f9aa4a5bf5211e/US20160371431A1-20161222-D00000.png
CN-110245685-B,"Method, system and storage medium for predicting pathogenicity of genome single site variant ",清华大学,"江瑞, 宋绍铭",2019-05-15,2019-05-15,2022-03-25,2022-03-25,https://patents.google.com/patent/CN110245685B/en,https://patentimages.storage.googleapis.com/3d/2e/fb/a7bc93c76ebcd5/HDA0002059977540000011.png
