search URL:,https://patents.google.com/?q=%22gene+panel%22+AND+%28%22variant+scoring%22+OR+%22variant+pathogenicity%22%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2021057042-A1,Systems and methods for detecting cellular pathway dysregulation in cancer specimens ,"Tempus Labs, Inc.","Nike T. Beaubier, Joshua SK Bell, Catherine Igartua, Hailey B. Lefkofsky, Lee F. Langer",2019-08-16,2020-08-14,2021-02-25,,https://patents.google.com/patent/US20210057042A1/en,https://patentimages.storage.googleapis.com/14/77/77/99bfae7496b961/US20210057042A1-20210225-D00001.png
US-11887696-B2,"Systems and methods for classifying, prioritizing and interpreting genetic variants and therapies using a deep neural network ",Deep Genomics Incorporated,"Brendan Frey, Michael K. K. Leung, Andrew Thomas DELONG, Hui Yuan XIONG, Babak ALIPANAHI, Leo J. Lee, Hannes BRETSCHNEIDER",2015-06-15,2018-11-20,2024-01-30,2024-01-30,https://patents.google.com/patent/US11887696B2/en,https://patentimages.storage.googleapis.com/a6/b6/dc/a4c4915c9ab55b/US11887696-20240130-D00001.png
CA-2894317-C,"Systems and methods for classifying, prioritizing and interpreting genetic variants and therapies using a deep neural network ","Deep Genomics Incorporated, Brendan Frey, Michael K.K. Leung, Andrew Thomas Delong, Hui Yuan XIONG, Babak Alipanahi, Leo J. Lee, Hannes Bretschneider","Brendan Frey, Michael K.K. Leung, Andrew Thomas Delong, Hui Yuan XIONG, Babak Alipanahi, Leo J. Lee, Hannes Bretschneider",2015-06-15,2015-06-15,2023-08-15,2023-08-15,https://patents.google.com/patent/CA2894317C/en,
US-2016281166-A1,Methods and systems for screening diseases in subjects ,"Parabase Genomics, Inc.","Arindam Bhattacharjee, Tanya Sokolsky, Edwin NAYLOR, Richard B. PARAD, Evan Mauceli",2015-03-23,2016-03-23,2016-09-29,,https://patents.google.com/patent/US20160281166A1/en,https://patentimages.storage.googleapis.com/aa/c9/f3/10d3e6aced5254/US20160281166A1-20160929-D00001.png
JP-2020524350-A,Interpretation of gene and genomic variants via integrated computing and experimental deep mutation learning frameworks ,"ジャングラ インコーポレイテッド, ジャングラ  インコーポレイテッド","カルロス エル． アラヤ，, カルロス  エル． アラヤ，, ジェイソン エー． ロイター，, ジェイソン  エー． ロイター，, サムスクルティ レディ パディゲパティ，, サムスクルティ  レディ パディゲパティ，, アレクサンドル コラヴィン，, アレクサンドル コラヴィン，",2017-06-19,2018-06-19,2020-08-13,,https://patents.google.com/patent/JP2020524350A/en,
US-2019325988-A1,Method and system for rapid genetic analysis ,Rady Children's Hospital Research Center,"Stephen Kingsmore, Narayanan Veeraraghavan, Michelle Marie Clark",2018-04-18,2019-04-18,2019-10-24,,https://patents.google.com/patent/US20190325988A1/en,https://patentimages.storage.googleapis.com/a5/62/ae/330f2ce729a085/US20190325988A1-20191024-D00001.png
AU-2022324018-A1,Method and system for newborn screening for genetic diseases by whole genome sequencing ,Rady Children's Hospital Research Center,Stephen Kingsmore,2021-08-04,2022-08-03,2024-03-07,,https://patents.google.com/patent/AU2022324018A1/en,
EP-2901345-A2,System for genome analysis and genetic disease diagnosis ,The Children's Mercy Hospital,"Stephen Kingsmore, Neil Miller, Carol Saunders, Sarah SODEN, Emily G. FARROW, Laurel K. WILLIG",2012-09-27,2013-09-27,2015-08-05,,https://patents.google.com/patent/EP2901345A2/en,
CN-115631791-A,"Germ line locus variation pathogenicity prediction method, device, terminal and medium ",上海睿璟生物科技有限公司,"张博, 杨峰, 石涵, 洪跟东",2022-10-28,2022-10-28,2023-01-20,,https://patents.google.com/patent/CN115631791A/en,https://patentimages.storage.googleapis.com/da/43/0c/f00145666dee3e/HDA0003915222520000011.png
US-2023253070-A1,Systems and Methods for Detecting Cellular Pathway Dysregulation in Cancer Specimens ,"Tempus Labs, Inc.","Joshua Drews, Bonnie Dougherty, Lee Langer, Catherine Igartua, Andrew J. Sedgwick, Justin Guinney",2019-08-16,2023-02-28,2023-08-10,,https://patents.google.com/patent/US20230253070A1/en,https://patentimages.storage.googleapis.com/80/ac/be/e8d35213a10d9c/US20230253070A1-20230810-D00001.png
WO-2021016089-A1,Methods for detecting hereditary cancers ,Quest Diagnostics Investments Llc,"Sun Hee ROSENTHAL, Weimin Sun, Ke Zhang, Anna GERASIMOVA, Andrew Grupe, Felicitas LACBAWAN",2019-07-19,2020-07-17,2021-01-28,,https://patents.google.com/patent/WO2021016089A1/en,
WO-2024263794-A1,"Method and system for estimating impact of mutations on fitness, lifespan, and fecundity ","Illumina, Inc.","Hong Gao, Joshua Goodwin Jon McMaster-Schraiber, Jacob Christopher ULIRSCH, Kai-How FARH",2023-06-23,2024-06-20,2024-12-26,,https://patents.google.com/patent/WO2024263794A1/en,
WO-2022261515-A1,Method and system for improved management of genetic diseases ,"Rady Childrens's Hospital Research Center, Alexion Pharmaceuticals, Inc.","Stephen Kingsmore, Narayanan VEERARAGHAVAN, Sebastian LEFEBVRE",2021-06-11,2022-06-10,2022-12-15,,https://patents.google.com/patent/WO2022261515A1/en,
TR-2021019193-A2,Early Onset Systemic Lupus Erythematosus Gene Panel ,"İstanbul Üni̇versi̇tesi̇ Cerrahpaşa Rektörlüğü, İstanbul Üni̇versi̇tesi̇ Rektörlüğü","Da Dem R Selcuk, Kasapcopur Ozgur, N Ah N Sezg",,2021-12-06,2023-06-21,,https://patents.google.com/patent/TR2021019193A2/en,
CN-117334258-A,Multi-source heterogeneous human genetic variation data management and annotation method and device for ACMG ,中南大学湘雅医院,"赵贵虎, 李津臣, 王峥, 李滨",2023-10-25,2023-10-25,2024-01-02,,https://patents.google.com/patent/CN117334258A/en,
WO-2025029629-A2,Trpv4 inhibition to treat arrhythmic cardiomyopathy ,Duke University,"Andrew LANDSTROM, Robin PERELLI",2023-07-28,2024-07-26,2025-02-06,,https://patents.google.com/patent/WO2025029629A2/en,
