search URL:,https://patents.google.com/?q=%22causal+variant%22+AND+%28%22probability+estimation%22+OR+%22variant+scoring%22+OR+%22variant+interpretation%22%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-2614161-B1,"Variant annotation, analysis and selection tool ","Fabric Genomics, Inc., University of Utah Research Foundation","Mark Yandell, Martin Reese, Chad Huff, Hao Hu, Marvin Moore",2010-09-09,2011-09-09,2020-11-04,2020-11-04,https://patents.google.com/patent/EP2614161B1/en,https://patentimages.storage.googleapis.com/ce/5a/60/69d377876d10a8/imgf0001.png
US-12136472-B2,"Molecular evidence platform for auditable, continuous optimization of variant interpretation in genetic and genomic testing and analysis ",Laboratory Corporation Of America Holdings,"Alexandre Colavin, Carlos L. Araya, Jason A. Reuter",2017-10-17,2023-09-14,2024-11-05,2024-11-05,https://patents.google.com/patent/US12136472B2/en,https://patentimages.storage.googleapis.com/c8/c7/e0/b2263a08430e9b/US12136472-20241105-D00000.png
US-2016281166-A1,Methods and systems for screening diseases in subjects ,"Parabase Genomics, Inc.","Arindam Bhattacharjee, Tanya Sokolsky, Edwin NAYLOR, Richard B. PARAD, Evan Mauceli",2015-03-23,2016-03-23,2016-09-29,,https://patents.google.com/patent/US20160281166A1/en,https://patentimages.storage.googleapis.com/aa/c9/f3/10d3e6aced5254/US20160281166A1-20160929-D00001.png
US-2021375407-A1,Diagnostic genomic predictions based on electronic health record data ,The Trustees Of Columbia University In The City Of New York,"Kai Wang, Chunhua Weng",2017-10-06,2018-10-02,2021-12-02,,https://patents.google.com/patent/US20210375407A1/en,https://patentimages.storage.googleapis.com/1b/d1/d9/5da9b4f4eb0c65/US20210375407A1-20211202-D00000.png
US-2019325988-A1,Method and system for rapid genetic analysis ,Rady Children's Hospital Research Center,"Stephen Kingsmore, Narayanan Veeraraghavan, Michelle Marie Clark",2018-04-18,2019-04-18,2019-10-24,,https://patents.google.com/patent/US20190325988A1/en,https://patentimages.storage.googleapis.com/a5/62/ae/330f2ce729a085/US20190325988A1-20191024-D00001.png
WO-2023087277-A1,"Sequence variation analysis method and system, and storage medium ",深圳华大基因股份有限公司,"熊云, 刘水霞, 曾权磊, 张宇, 韦懿, 李红, 方婷, 柴相花, 王梦杰, 袁玉英, 李宁",2021-11-19,2021-11-19,2023-05-25,,https://patents.google.com/patent/WO2023087277A1/en,https://patentimages.storage.googleapis.com/ef/55/fa/d621c5fa938dfb/PCTCN2021131904-appb-300001.png
CA-3227737-A1,Method and system for newborn screening for genetic diseases by whole genome sequencing ,"Rady Children's Hospital Research Center, Stephen Kingsmore",Stephen Kingsmore,2021-08-04,2022-08-03,2023-02-09,,https://patents.google.com/patent/CA3227737A1/en,
WO-2018042185-A1,"Methods, systems and apparatus for identifying pathogenic gene variants ",Imperial Innovations Ltd,"Stuart Alexander COOK, James WARE, Paul Barton, Roddy WALSH, Gillian REA, Nicola WHIFFIN, Elizabeth Edwards, Daniel Geoffrey MACARTHUR, Eric MINIKEL",2016-09-02,2017-09-01,2018-03-08,,https://patents.google.com/patent/WO2018042185A1/en,
CA-3221980-A1,Method and system for improved management of genetic diseases ,"Stephen Kingsmore, Narayanan VEERARAGHAVAN, Rady Children's Hospital Research Center, Sebastian LEFEBVRE, Alexion Pharmaceuticals, Inc.","Stephen Kingsmore, Narayanan VEERARAGHAVAN, Sebastian LEFEBVRE",2021-06-11,2022-06-10,2022-12-15,,https://patents.google.com/patent/CA3221980A1/en,
WO-2024081195-A1,Machine learning pipeline for genome-wide association studies ,"Illumina Software, Inc., Illumina, Inc., Illumina Australia Pty Ltd, Illumina Netherlands BV, Illumina France Sarl, Illumina Cambridge Limited","Yair FIELD, Jacob Christopher ULIRSCH, Cinzia MALANGONE, Miguel MADRID-MENCIA, Geoffrey Nilsen, Pam Tang CHENG, Ileena MITRA, Petko Plamenov Fiziev, Sabrina RASHID, Anthonius Petrus Nicolaas DE BOER, Pierrick WAINSCHTEIN, Vlad Mihai SIMA, Francois AGUET, Kai-How FARH",2022-10-09,2023-10-09,2024-04-18,,https://patents.google.com/patent/WO2024081195A1/en,
WO-2024187173-A1,High throughput prime editing screens identify functional dna variants in the human genome ,The Regents Of The University Of California,"Yin Shen, Xingjie REN, Han Yang",2023-03-09,2024-03-09,2024-09-12,,https://patents.google.com/patent/WO2024187173A1/en,
