search URL:,https://patents.google.com/?q=%22Hardy-Weinberg%22+AND+%28%22disease+probability%22+OR+%22genomic+diagnosis%22+OR+%22variant+interpretation%22%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CN-116134152-A,Method for assessing risk of producing a severe response to coronavirus infection ,基因技术有限公司,"吉莉安·休·迪特, 尼古拉斯·马克·墨菲, 理查德·奥尔曼",2020-05-27,2021-05-26,2023-05-16,,https://patents.google.com/patent/CN116134152A/en,https://patentimages.storage.googleapis.com/4c/a4/6b/e53fccaf1ab8e6/HDA0004036771010000011.png
CN-107256323-A,A kind of construction method and constructing system of type II diabetes risk evaluation model ,云健康基因科技（上海）有限公司,"万旗东, 李庆辉, 金刚",2016-09-05,2016-09-05,2017-10-17,,https://patents.google.com/patent/CN107256323A/en,
US-2020097835-A1,"Device, system and method for assessing risk of variant-specific gene dysfunction ","Ancestry.Com Dna, Llc","Ari Julian SILVER, Velina Kozareva, Maxwell J. SILVER, Nigel DELANEY, Lee M. SILVER",2014-06-17,2019-09-23,2020-03-26,,https://patents.google.com/patent/US20200097835A1/en,https://patentimages.storage.googleapis.com/01/ba/2c/f1e5b5f4ab61f5/US20200097835A1-20200326-D00000.png
KR-102344173-B1,Coronary Disease Prediction methods using clinical and genetic Risk score in Korean and method for suggesting diagnosis related to Coronary Disease ,주식회사 바이오에이지,"서종원, 이은솔",2021-05-03,2021-05-03,2021-12-29,2021-12-29,https://patents.google.com/patent/KR102344173B1/en,https://patentimages.storage.googleapis.com/8d/d3/8f/ecd05df75bced7/112021051172542-pat00043.png
WO-2004031912-A2,Methods for estimating haplotype frequencies and disease associations with haplotypes and environmental variables ,Fred Hutchinson Cancer Research Center,Lue Ping Zhao,2002-10-01,2003-10-01,2004-04-15,,https://patents.google.com/patent/WO2004031912A2/en,
CN-115961020-A,"SNPs site combination, model and system for predicting risk of plateau pulmonary edema ",西藏民族大学,"金天博, 王莉, 袁东亚, 贺学, 王宇鹤, 杨伟, 徐世林, 戎浩, 卢红燕, 陈明月",2022-09-08,2022-09-08,2023-04-14,,https://patents.google.com/patent/CN115961020A/en,https://patentimages.storage.googleapis.com/7a/e2/93/f1f1c4a25a8f99/HDA0003838697340000011.png
US-9910962-B1,Genetic and environmental risk engine and methods thereof ,"Basehealth, Inc.","Hossein Fakhrai-Rad, Keyan Salari, Dara Patrick Dowlatshahi, Abdolkarim Pourak, Harshna Harshvadan Kapashi, Malekeh Amini, Pouria Mojabi, Celine Becquet, Prakash Menon, Mehrdad Rezaee",2013-01-22,2013-12-12,2018-03-06,2018-03-06,https://patents.google.com/patent/US9910962B1/en,https://patentimages.storage.googleapis.com/1b/e1/29/4802aba8a5f057/US09910962-20180306-D00000.png
JP-H09511138-A,"Jointly used genetic marker trait for diagnosis of Alzheimer's disease, and diagnostic method and kit ","アンスティテュ  パストゥール, アンスティテュ  パストゥール  ドゥ  リール, アンスティテュ  ナシオナル  ドゥ  ラ  サントゥ  エ  ドゥ  ラ  ルシェルシェ  メディカル  （イーエヌエスエーエールエム）","フィリップ アムエル, シャルティエール−アルリン，マリー−クリスティーヌ",1994-03-07,1995-03-06,1997-11-11,,https://patents.google.com/patent/JPH09511138A/en,
WO-2024254269-A2,Genetic prevalence estimator using panel distance ,Invitae Corporation,"Emil Ragip KEYDER, Alix Mary Benedicte LACOSTE",2023-06-07,2024-06-06,2024-12-12,,https://patents.google.com/patent/WO2024254269A2/en,
CN-108346468-A,Data processing method and device ,北京科迅生物技术有限公司,"张静波, 关永涛, 王见收, 刘珂弟, 刘倩, 唐宇",2017-12-27,2017-12-27,2018-07-31,,https://patents.google.com/patent/CN108346468A/en,
CN-102369531-B,Method for selecting statistically validated candidate genes ,先正达参股股份有限公司,"V.K.基肖尔, 郭志刚, 李珉, 王道龙, L.A.谷迪尔莱兹罗贾斯, J.D.V.克拉克, J.拜勒姆",2009-02-06,2010-02-05,2015-03-18,2015-03-18,https://patents.google.com/patent/CN102369531B/en,
WO-03101377-A2,Association of snps in the dgcr2 locus and neighboring loci with schizophrenia ,Idgene Pharmaceuticals Ltd.,"Ariel Darvasi, Naomi Zak",2002-06-03,2003-06-03,2003-12-11,,https://patents.google.com/patent/WO2003101377A2/en,
WO-2024263794-A1,"Method and system for estimating impact of mutations on fitness, lifespan, and fecundity ","Illumina, Inc.","Hong Gao, Joshua Goodwin Jon McMaster-Schraiber, Jacob Christopher ULIRSCH, Kai-How FARH",2023-06-23,2024-06-20,2024-12-26,,https://patents.google.com/patent/WO2024263794A1/en,
