search URL:,https://patents.google.com/?q=%22Bayesian%22+AND+%28%22gene+panel%22+OR+%22variant+interpretation%22+OR+%22genetic+diagnosis%22%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2024266963-A1,Multi-assay prediction model for cancer detection ,"Grail, Inc.","Alex Aravanis, Alexander Weaver BLOCKER, Darya FILIPPOVA, Samuel S. Gross, Earl Hubbell, Qinwen LIU, Tara Maddala, Virgil NICULA, Ling Shen, Anton VALOUEV, Oliver Claude VENN, Richard T. Williams, Nan Zhang",2018-04-13,2024-11-28,2024-12-19,,https://patents.google.com/patent/AU2024266963A1/en,
CN-111742059-B,Model for targeted sequencing ,格瑞尔有限责任公司,"A·W·布洛克尔, E·哈贝尔, O·C·维恩, 刘勤文",2017-11-28,2018-11-27,2024-07-09,2024-07-09,https://patents.google.com/patent/CN111742059B/en,
JP-7539443-B2,Cancer Classification and Prognosis ,ユーイーエー エンタープライジズ リミテッド,"ボグダン－アレキサンドル ルカ, ビンセント モールション, ダニエル サイモン ブルーワー, コリン ステェファン クーパー",2016-10-05,2022-09-15,2024-08-23,2024-08-23,https://patents.google.com/patent/JP7539443B2/en,https://patentimages.storage.googleapis.com/79/bd/c5/4f3e8b0eb0f28d/0007539443000052.png
US-2020335179-A1,Clinical decision model ,"The United States Of America As Represented By The Secretary Of The Navy, The Government Of The United States, As Represented By The Secretary Of The Army, DecisionQ Corporation","Alexander Stojadinovic, Eric A. Elster, Doug K. Tadaki, John S. Eberhardt, III, Trevor Brown, Thomas A. Davis, Jonathan Forsberg, Jason Hawksworth",2008-10-15,2020-07-07,2020-10-22,,https://patents.google.com/patent/US20200335179A1/en,https://patentimages.storage.googleapis.com/24/07/1f/6b947c727c9787/US20200335179A1-20201022-D00000.png
AU-2024219712-A1,Interpretation of genetic and genomic variants via an integrated computational and experimental deep mutational learning framework ,Invitae Corporation,"Carlos L. Araya, Alexandre Colavin, Samskruthi Reddy Padigepati, Jason A. Reuter",2017-06-19,2024-09-13,2024-10-03,,https://patents.google.com/patent/AU2024219712A1/en,
JP-6430998-B2,System and method for cleaning and using genetic data for making predictions ,"ナテラ， インコーポレイテッド, ナテラ，  インコーポレイテッド","ラビノビッツ マシュー, ラビノビッツ マシュー, バンジェビック ミレナ, バンジェビック ミレナ, ポール デムコ ザカリー, ポール  デムコ ザカリー, スコット ジョンソン デイビッド, スコット  ジョンソン デイビッド",2005-11-26,2016-06-13,2018-11-28,2018-11-28,https://patents.google.com/patent/JP6430998B2/en,https://patentimages.storage.googleapis.com/ac/38/2f/415a0fa60e22cd/0006430998-136.png
JP-6054303-B2,Optimization of multigene analysis of tumor samples ,"ファウンデーション メディシン インコーポレイテッドＦｏｕｎｄａｔｉｏｎ Ｍｅｄｉｃｉｎｅ， Ｉｎｃ．, ファウンデーション  メディシン  インコーポレイテッド","ダウニング，シーン，アール, ヤロス，ミルナ, リプソン，ドロン, オツトー，ジエフリー，アラン, パーカー，アレクサンダー，エヌ, シヤピロ，ミカイル，ジー, ステイーブンス，フイリツプ，ジエイムズ, イエレンスキー，ロマン",2010-12-30,2011-12-29,2016-12-27,2016-12-27,https://patents.google.com/patent/JP6054303B2/en,https://patentimages.storage.googleapis.com/87/a3/f2/7b89c2b038834f/0006054303-45.png
JP-7602319-B2,Methods and compositions for molecular profiling for disease diagnosis ,ベラサイト インコーポレイテッド,"ジュリア シー． ケネディ, ボニー アンダーソン, ダリア アイ． チュドバ, エリック ティー． ワン, ホイ ワン, モライマ ペイガン, ヌスラト ラビー, ジョナサン アイ． ワイルド",2008-11-17,2019-12-12,2024-12-18,2024-12-18,https://patents.google.com/patent/JP7602319B2/en,https://patentimages.storage.googleapis.com/5a/fa/17/d246761168de08/0007602319000087.png
US-10083273-B2,System and method for cleaning noisy genetic data and determining chromosome copy number ,"Natera, Inc.","Matthew Rabinowitz, Milena Banjevic, Zachary Demko, David Johnson, Dusan Kijacic, Dimitri Petrov, Joshua Sweetkind-Singer, Jing Xu",2005-07-29,2013-07-23,2018-09-25,2018-09-25,https://patents.google.com/patent/US10083273B2/en,https://patentimages.storage.googleapis.com/ed/90/b3/b63c78388f47c1/US10083273-20180925-D00001.png
RU-2717641-C2,Detection of mutations and ploidy in chromosomal segments ,"Натера, Инк.","Джошуа БАБИАРЦ, Тюдор Помпилиу КОНСТАНТИН, Лейн А. ЮБАНК, Джордж ДЖЕМЕЛОС, Мэттью Мика ХИЛЛ, Хусейн Эсер КИРКИЗЛЯР, Мэттью РАБИНОВИЦ, Онур САКАРИЯ, Стёрмир СИГУРДЖОНССОН, Бернхард ЗИММЕРМАН",2014-04-21,2015-04-21,2020-03-24,2020-03-24,https://patents.google.com/patent/RU2717641C2/en,https://patentimages.storage.googleapis.com/5a/c3/48/56ebf3fd955d1b/00000048.png
US-10262755-B2,Detecting cancer mutations and aneuploidy in chromosomal segments ,"Natera, Inc.","Joshua Babiarz, Tudor Pompiliu Constantin, Lane A. Eubank, George Gemelos, Matthew Micah Hill, Huseyin Eser Kirkizlar, Matthew Rabinowitz, Onur Sakarya, Styrmir Sigurjonsson, Bernhard Zimmermann",2014-04-21,2015-10-14,2019-04-16,2019-04-16,https://patents.google.com/patent/US10262755B2/en,https://patentimages.storage.googleapis.com/dc/3f/fe/1ccf29d529dd4c/US10262755-20190416-D00001.png
US-2024371184-A1,Live-cell label-free prediction of single-cell omics profiles by microscopy ,"The Broad Institute, Inc., The General Hospital Corporation, Massachusetts Institute Of Technology","Charles COMITER, Jian Shu, Aviv Regev, Koseki KOBAYASHI-KIRSCHVINK, Tommaso Biancalani",2021-11-16,2024-05-15,2024-11-07,,https://patents.google.com/patent/US20240371184A1/en,https://patentimages.storage.googleapis.com/d6/89/73/54c8c41c400e91/US20240371184A1-20241107-D00000.png
EP-2761520-B1,Diagnostic method and system for genetic disease search based on the phenotype and the genome of a human subject ,"Trakadis, John",John TRAKADIS,2011-09-26,2012-09-26,2020-05-13,2020-05-13,https://patents.google.com/patent/EP2761520B1/en,https://patentimages.storage.googleapis.com/b5/9d/18/70c1594ed728bd/imgf0001.png
JP-7228499-B2,Compositions and methods for assessing acute rejection in kidney transplantation ,イムコア ジーティーアイ ダイアグノスティクス インコーポレイテッド,エム． サーワル，ミニー,2013-09-06,2019-11-08,2023-02-24,2023-02-24,https://patents.google.com/patent/JP7228499B2/en,https://patentimages.storage.googleapis.com/29/21/7b/4583f32bf60593/0007228499000049.png
CN-114176582-B,Diagnostic Methods ,夸登特健康公司,"埃尔米·埃尔图凯, 阿米尔阿里·塔拉萨兹",2015-05-01,2016-04-29,2024-09-17,2024-09-17,https://patents.google.com/patent/CN114176582B/en,
JP-2024086739-A,Methods for analyzing circulating cells ,"ナテラ， インコーポレイテッド, Natera Inc","ブレヴノフ，マキシム, Brevnov Maxim, リバーズ，エリザベス, Rivers Elizabeth",2018-12-17,2024-03-26,2024-06-28,,https://patents.google.com/patent/JP2024086739A/en,
US-11475981-B2,Methods and systems for dynamic variant thresholding in a liquid biopsy assay ,"Tempus Labs, Inc.","Robert Tell, Wei Zhu, Justin David Finkle, Christine Lo, Terri M. Driessen",2020-02-18,2021-02-18,2022-10-18,2022-10-18,https://patents.google.com/patent/US11475981B2/en,https://patentimages.storage.googleapis.com/a2/6c/d4/5afb8c7826ea07/US11475981-20221018-D00001.png
US-10734117-B2,Apparatuses and methods for determining a patient's response to multiple cancer drugs ,Strand Life Sciences Private Limited,"Vaijayanti Gupta, Manimala Sen, Satish Sankaran, Kalyanasundaram Subramanian, Ramesh Hariharan, Vamsi Veeramachaneni, Shanmukh Katragadda, Rohit Gupta, Radhakrishna Bettadapura, Anand Janakiraman, Arunabha Ghosh, Smita Agrawal, Sujaya Srinivasan, Bhupender Singh, Urvashi Bahadur, Shuba Krishna, Mahesh Nagarajan, Nimisha Gupta, Sudhir BORGONHA",2015-03-02,2016-03-02,2020-08-04,2020-08-04,https://patents.google.com/patent/US10734117B2/en,https://patentimages.storage.googleapis.com/95/1d/69/f61614647d848c/US10734117-20200804-D00000.png
AU-2019328344-B2,Microsatellite instability detection in cell-free DNA ,"Guardant Health, Inc.","Aliaksandr ARTSIOMENKA, Catalin Barbacioru, Darya CHUDOVA, Martina I. LEFTEROVA, Marcin Sikora",2018-08-31,2019-08-30,2025-06-12,2025-06-12,https://patents.google.com/patent/AU2019328344B2/en,
US-9430611-B2,System and method for cleaning noisy genetic data from target individuals using genetic data from genetically related individuals ,"Natera, Inc.","Matthew Rabinowitz, Milena Banjevic, Zachary Demko, David Johnson",2005-11-26,2013-11-27,2016-08-30,2016-08-30,https://patents.google.com/patent/US9430611B2/en,https://patentimages.storage.googleapis.com/3c/3c/f3/7444292f3b8588/US09430611-20160830-D00000.png
ES-2923602-T3,Detection and treatment of diseases showing cellular heterogeneity of disease and systems and methods for communicating test results ,Guardant Health Inc,"Helmy Eltoukhy, Amirali Talasaz, Bahram Kermani, Nnamdi Ihuegbu",2014-12-31,2015-12-28,2022-09-28,2022-09-28,https://patents.google.com/patent/ES2923602T3/en,
RU-2718647-C2,Medical prediction and prediction of treatment results using activity of multiple cell signaling pathways ,Конинклейке Филипс Н.В.,"Вильхельмус Франсискус Йоханнес ВЕРХАГ, Хендрик Ян ВАН ОЙЕН, Аня ВАН ДЕ СТОЛЬПЕ, Марсия АЛВЕС ДЕ ИНДА",2013-04-26,2014-04-24,2020-04-10,2020-04-10,https://patents.google.com/patent/RU2718647C2/en,https://patentimages.storage.googleapis.com/77/a2/9e/bf93434406ef10/00000003.png
US-12065703-B2,System and method for cleaning noisy genetic data and determining chromosome copy number ,"Natera, Inc.","Matthew Rabinowitz, Milena Banjevic, Zachary Demko, David Johnson, Dusan Kijacic, Dimitri Petrov, Joshua Sweetkind-Singer, Jing Xu",2005-07-29,2023-03-13,2024-08-20,2024-08-20,https://patents.google.com/patent/US12065703B2/en,https://patentimages.storage.googleapis.com/65/b2/a9/3907d7d063de55/US12065703-20240820-D00001.png
US-10266893-B2,System and method for cleaning noisy genetic data and determining chromosome copy number ,"Natera, Inc.","Matthew Rabinowitz, Milena Banjevic, Zachary Demko, David Johnson, Dusan Kijacic, Dimitri Petrov, Joshua Sweetkind-Singer, Jing Xu",2005-07-29,2018-01-26,2019-04-23,2019-04-23,https://patents.google.com/patent/US10266893B2/en,https://patentimages.storage.googleapis.com/40/5a/b7/a7ee84b448b567/US10266893-20190423-D00001.png
JP-7186700-B2,Methods to Distinguish Tumor Suppressor FOXO Activity from Oxidative Stress ,コーニンクレッカ フィリップス エヌ ヴェ,"デ ストルペ，アニャ ファン, フェルテル，リック, フランシスキュス ヨーハネス フェルハーフ，ウィルヘルミュス, オーイェン，ヘンドリク ヤン ファン, テオドリュス ランベルト アクセ，マルテイン",2016-11-25,2017-11-24,2022-12-09,2022-12-09,https://patents.google.com/patent/JP7186700B2/en,https://patentimages.storage.googleapis.com/6b/6c/66/b93fd3da74f742/0007186700000021.png
US-11111543-B2,System and method for cleaning noisy genetic data and determining chromosome copy number ,"Natera, Inc.","Matthew Rabinowitz, Milena Banjevic, Zachary Demko, David Johnson, Dusan Kijacic, Dimitri Petrov, Joshua Sweetkind-Singer, Jing Xu",2005-07-29,2020-02-27,2021-09-07,2021-09-07,https://patents.google.com/patent/US11111543B2/en,https://patentimages.storage.googleapis.com/6c/e0/ca/17a60573cfb3e1/US11111543-20210907-D00001.png
US-2021174901-A1,"METHOD FOR SIMULTANEOUS DETECTION OF GENOME-WIDE COPY NUMBER CHANGES, cnLOH, INDELS, AND GENE MUTATIONS ","Agilent Technologies, Inc.","Ashutosh, Devendra Joshi, Arjun Vadapalli, Jayati Ghosh",2015-04-10,2020-12-24,2021-06-10,,https://patents.google.com/patent/US20210174901A1/en,https://patentimages.storage.googleapis.com/fa/4c/06/0b7806a1818978/US20210174901A1-20210610-D00001.png
CN-104937111-B,For diagnosing the composition and method of thyroid tumors ,智利天主教教皇大学,"埃尔南·埃乌杰尼奥·冈萨雷斯迪亚兹, 瑟吉奥·瓦尔加斯塞拉斯, 约瑟·罗德里戈·沃尔德马尔·马丁内斯索利斯",2012-11-27,2013-11-26,2018-05-11,2018-05-11,https://patents.google.com/patent/CN104937111B/en,
US-8682592-B2,System and method for cleaning noisy genetic data from target individuals using genetic data from genetically related individuals ,"Natera, Inc.","Matthew Rabinowitz, Milena Banjevic, Zachary Demko, David Johnson",2005-11-26,2013-03-11,2014-03-25,2014-03-25,https://patents.google.com/patent/US8682592B2/en,https://patentimages.storage.googleapis.com/ab/ca/19/141f1a40920efa/US08682592-20140325-D00001.png
EP-3271848-B1,Systems and methods for analyzing nucleic acid ,"Personal Genome Diagnostics, Inc.","Victor Velculescu, Luis Diaz, Siân JONES, Samuel Vincent ANGIUOLI",2015-03-16,2016-03-15,2025-03-12,2025-03-12,https://patents.google.com/patent/EP3271848B1/en,https://patentimages.storage.googleapis.com/6e/12/06/58e389d5c0639c/imgf0001.png
US-2019256919-A1,Methods for simultaneous amplification of target loci ,"Natera, Inc.","Joshua Babiarz, Tudor Popiliu CONSTANTIN, Lane A. Eubank, George Gemelos, Matthew Micah Hill, Huseyin Eser Kirkizlar, Matthew Rabinowitz, Onur Sakarya, Styrmir Sigurjonsson, Bernhard Zimmermann",2010-05-18,2019-04-30,2019-08-22,,https://patents.google.com/patent/US20190256919A1/en,https://patentimages.storage.googleapis.com/52/86/82/0fb75c4acf53b8/US20190256919A1-20190822-D00001.png
US-2019087537-A1,Method and System for DNA Analysis ,Mark W. Perlin,Mark W. Perlin,2000-02-15,2018-11-20,2019-03-21,,https://patents.google.com/patent/US20190087537A1/en,https://patentimages.storage.googleapis.com/c6/89/be/9c7a708d1efa32/US20190087537A1-20190321-D00001.png
US-10185803-B2,"Systems and methods for classifying, prioritizing and interpreting genetic variants and therapies using a deep neural network ",Deep Genomics Incorporated,"Brendan Frey, Michael K. K. Leung, Andrew Thomas DELONG, Hui Yuan XIONG, Babak ALIPANAHI, Leo J. Lee, Hannes BRETSCHNEIDER",2015-06-15,2015-06-15,2019-01-22,2019-01-22,https://patents.google.com/patent/US10185803B2/en,https://patentimages.storage.googleapis.com/cf/09/75/1f154c394b5093/US10185803-20190122-D00000.png
