search URL:,https://patents.google.com/?q=%22compound+heterozygosity%22+AND+%28%22disease+probability%22+OR+%22genetic+diagnosis%22%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9524373-B2,Genome-phenome analyzer and methods of using same ,"Simulconsult, Inc.",Michael M. Segal,2012-03-01,2013-02-28,2016-12-20,2016-12-20,https://patents.google.com/patent/US9524373B2/en,https://patentimages.storage.googleapis.com/7f/72/54/f76ddddcda0892/US09524373-20161220-D00001.png
US-2017061070-A1,Method and process for whole genome sequencing for genetic disease diagnosis ,The Children's Mercy Hospital,"Stephen Kingsmore, Laurel K. Willig, Neil Miller",2014-02-13,2015-02-13,2017-03-02,,https://patents.google.com/patent/US20170061070A1/en,https://patentimages.storage.googleapis.com/0e/0a/f1/ab69905ca8bdf2/US20170061070A1-20170302-D00001.png
US-2021292841-A1,Methods of using genetic markers associated with endometriosis ,"Juneau Biosciences, L.L.C.","Hans Albertsen, Rakesh N. Chettier, Kenneth Ward, VeeAnn ARGYLE",2018-09-07,2019-09-06,2021-09-23,,https://patents.google.com/patent/US20210292841A1/en,https://patentimages.storage.googleapis.com/73/95/82/ccf2e826b9a96e/US20210292841A1-20210923-D00000.png
CA-3057613-A1,Methods of using genetic markers associated with endometriosis ,"Juneau Biosciences, L.L.C., Kenneth Ward, Rakesh N. Chettier, Hans M. Albertsen","Kenneth Ward, Rakesh N. Chettier, Hans M. Albertsen",2017-03-15,2018-03-15,2018-09-20,,https://patents.google.com/patent/CA3057613A1/en,
EP-2761520-B1,Diagnostic method and system for genetic disease search based on the phenotype and the genome of a human subject ,"Trakadis, John",John TRAKADIS,2011-09-26,2012-09-26,2020-05-13,2020-05-13,https://patents.google.com/patent/EP2761520B1/en,https://patentimages.storage.googleapis.com/b5/9d/18/70c1594ed728bd/imgf0001.png
CN-114480611-A,A method to distinguish diseased embryos from normal embryos with CNV microdeletion microduplication syndrome ,"复旦大学附属妇产科医院, 上海集爱遗传与不育诊疗中心有限公司","张硕, 雷彩霞, 孙晓溪, 徐丛剑",2021-11-01,2021-11-01,2022-05-13,,https://patents.google.com/patent/CN114480611A/en,https://patentimages.storage.googleapis.com/17/f3/e8/7705ee2b52f91f/HDA0003331232900000011.png
CN-112442528-B,LOXHD1 Gene Mutants and Their Applications ,"深圳华大基因股份有限公司, 华中科技大学同济医学院附属协和医院","彭智宇, 孙宇, 向嘉乐, 陈森, 谢文, 李丹, 张红云",2019-08-30,2019-08-30,2022-08-12,2022-08-12,https://patents.google.com/patent/CN112442528B/en,https://patentimages.storage.googleapis.com/8c/0a/8e/1748ddd2b9fcb4/HDA0002185515780000011.png
RU-2746055-C1,<title>Method for diagnosing mutation c.-23+1g>a (rs80338940) of the gjb2 gene</title>,"Федеральное государственное автономное образовательное учреждение высшего образования ""Российский национальный исследовательский медицинский университет имени Н.И. Пирогова"" Министерства здравоохранения Российской Федерации (ФГАОУ ВО РНИМУ им. Н.И. Пирогова Минздрава России)","Елена Анатольевна Лоломадзе, Денис Владимирович Ребриков",2020-04-22,2020-04-22,2021-04-06,2021-04-06,https://patents.google.com/patent/RU2746055C1/en,https://patentimages.storage.googleapis.com/ca/8e/6e/e95a7554af3507/00000006.png
JP-2011067106-A,Method for detecting patient of ehlers-danlos syndrome or gene carrier ,"Yokohama City Univ, 公立大学法人横浜市立大学","Naomichi Matsumoto, 直通 松本, Noriko Miyake, 紀子 三宅",2009-09-24,2009-09-24,2011-04-07,,https://patents.google.com/patent/JP2011067106A/en,https://patentimages.storage.googleapis.com/ad/43/1c/78118ce727e59e/2011067106-7.png
US-2018250251-A1,Treatment of Patients with Familial Hypercholesterolemia on Lipid-Lowering Therapy ,Gemphire Therapeutics Inc.,Charles L. Bisgaier,2016-02-26,2018-04-18,2018-09-06,,https://patents.google.com/patent/US20180250251A1/en,https://patentimages.storage.googleapis.com/f0/79/0d/8da72c48f3d0fe/US20180250251A1-20180906-D00001.png
EP-2345744-A2,"Non-invasive, prenatal, in-vitro method for detecting the normal healthy condition, the condition of a healthy carrier or the condition of a carrier inflicted with cystic fibrosis ","Institut National De La Sante Et De La Recherche Medicale, Assistance Publique, Hopitaux De Paris, Universite Rene Descartes - Paris V","Patrizia Paterlini, Jean-Paul Bonnefont, Isabelle Desitter, Ali Saker",2005-01-18,2006-01-18,2011-07-20,,https://patents.google.com/patent/EP2345744A2/en,https://patentimages.storage.googleapis.com/d3/5c/11/87a5b2c4d8fec0/imgf0001.png
UA-86930-U,Method for genetic diagnostics of parkinson's disease ,"Государственное Учреждение ""Институт Геронтологии Им. Д.Ф. Чеботарева Намн Украины""","Александр Константинович Коляда, Александр Михайлович Вайсерман",2013-08-19,2013-08-19,2014-01-10,,https://patents.google.com/patent/UA86930U/en,
CN-117987539-A,Application of reagent for detecting ABCG8 mutant gene in preparation of kit for detecting sitosterolemia type 1 patient or carrier ,北京诺禾致源科技股份有限公司,"于洋, 潘子夜, 王杰",2024-04-07,2024-04-07,2024-05-07,,https://patents.google.com/patent/CN117987539A/en,
CN-113684213-B,MYO15A gene mutant and its application ,"深圳华大基因股份有限公司, 华中科技大学同济医学院附属协和医院","彭智宇, 孙宇, 向嘉乐, 陈森, 谢文, 李丹, 宋娜娜, 方星星",2020-05-18,2020-05-18,2024-08-13,2024-08-13,https://patents.google.com/patent/CN113684213B/en,
US-2024105337-A1,System for managing genetic information associated with a human genome of a target subject and displayed via a graphical user interface (gui) ,John Trakadis,John Trakadis,2011-09-26,2023-12-01,2024-03-28,,https://patents.google.com/patent/US20240105337A1/en,https://patentimages.storage.googleapis.com/1a/24/a4/08183045504078/US20240105337A1-20240328-D00000.png
CN-117701573-A,Nucleic acid mutant and application thereof ,"长沙市妇幼保健院(长沙市妇幼保健计划生育服务中心), 深圳华大基因股份有限公司","贺骏, 周世豪, 陈安基, 林彭思远, 胡兰萍, 向嘉乐, 彭智宇",2023-11-24,2023-11-24,2024-03-15,,https://patents.google.com/patent/CN117701573A/en,
CN-118339311-A,Methods for simulating quasi-embryo genotypes and approximating disease risk ,迈欧米公司,"A·库马尔, K·伊姆, M·拉比诺维茨",2021-09-27,2022-09-27,2024-07-12,,https://patents.google.com/patent/CN118339311A/en,
CN-110379458-A,"Pathogenicity variation site determination method, device, computer equipment and storage medium ",中国人民解放军陆军军医大学第一附属医院,"卜枫啸, 程静, 曾园媛, 李厦戎, 徐晓飞, 张倩, 何明敏, 王雪刚, 卢宇, 袁慧军",2019-07-15,2019-07-15,2019-10-25,,https://patents.google.com/patent/CN110379458A/en,
CN-116694643-A,MPZL2 gene mutant and application thereof ,"深圳华大基因股份有限公司, 天津市妇女儿童保健中心, 河北医科大学第二医院","向嘉乐, 王鹏, 单春光, 孙祥忠, 杨璟, 宋娜娜, 刘娜, 彭智宇, 彭欢欢",2023-05-29,2023-05-29,2023-09-05,,https://patents.google.com/patent/CN116694643A/en,
