search URL:,https://patents.google.com/?q=%22population+allele+frequency%22+AND+%28%22Bayesian%22+OR+%22genomic+diagnosis%22%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-3642744-B1,Methods for accurate computational decomposition of dna mixtures from contributors of unknown genotypes ,"Illumina, Inc.","Konrad SCHEFFLER, Johann Felix Schlesinger, Ryan Kelley",2017-06-20,2018-06-19,2025-02-26,2025-02-26,https://patents.google.com/patent/EP3642744B1/en,https://patentimages.storage.googleapis.com/da/37/0d/44a15dc8f40634/imgf0001.png
US-10679728-B2,Method of characterizing sequences from genetic material samples ,"The Translational Genomics Research Institute, The Regents Of The University Of California","David Craig, Nils Homer",2008-07-23,2017-04-03,2020-06-09,2020-06-09,https://patents.google.com/patent/US10679728B2/en,https://patentimages.storage.googleapis.com/08/98/7b/7332a67d950384/US10679728-20200609-D00001.png
WO-2025050071-A1,Probabilistic variant interpretation ,Laboratory Corporation Of America Holdings,"Keith NYKAMP, Alexandre Colavin, Toby MANDERS, Yuya KOBAYASHI, Carlos Araya, Arun NAMPALLY",2023-08-31,2024-08-30,2025-03-06,,https://patents.google.com/patent/WO2025050071A1/en,
US-2023084773-A1,Methods of detecting somatic mutations ,The Regents Of The University Of California,Alain Hunter Shain,2020-02-25,2021-02-24,2023-03-16,,https://patents.google.com/patent/US20230084773A1/en,https://patentimages.storage.googleapis.com/77/1a/76/113aeb6da9dba3/US20230084773A1-20230316-D00001.png
EP-4517760-A2,Methods and systems for decomposition and quantification of dna mixtures from multiple contributors of known or unknown genotypes ,Illumina Inc.,"Yong Li, Jocelyne BRUAND, Ryan Kelley, Chih Lee, Konrad SCHEFFLER",2017-06-20,2018-06-19,2025-03-05,,https://patents.google.com/patent/EP4517760A2/en,https://patentimages.storage.googleapis.com/68/b7/fb/fdf55a77da0d77/imgf0001.png
AU-2023282218-B2,Systems and methods for leveraging relatedness in genomic data analysis ,"Regeneron Pharmaceuticals, Inc.","Lukas HABEGGER, Jeffrey Reid, Jeffrey STAPLES",2017-09-07,2023-12-13,2025-04-24,2025-04-24,https://patents.google.com/patent/AU2023282218B2/en,
US-2018094311-A1,"Methods, systems and processes of identifying genetic variations ",Invitae Corporation,"Erik GAFNI, Swaroop Aradhya, Leah MATZAT, Eric Olivares, Vinayak KULKARNI, Joshua Paul",2016-09-22,2017-09-21,2018-04-05,,https://patents.google.com/patent/US20180094311A1/en,https://patentimages.storage.googleapis.com/37/fd/7a/d73264e284e46b/US20180094311A1-20180405-D00000.png
JP-6328934-B2,Noninvasive prenatal testing ,"ナテラ， インコーポレイテッド, ナテラ，  インコーポレイテッド","アリソン ライアン，, アリソン ライアン，, スティルミル シグルヨンソン，, スティルミル シグルヨンソン，, ミレナ バンジェビック，, ミレナ バンジェビック，, ジョージ ゲメロス，, ジョージ ゲメロス，, マシュー ヒル，, マシュー ヒル，, ヨハン バネル，, ヨハン バネル，, マシュー ラビノビッツ，, マシュー ラビノビッツ，, ザカリー デムコ，, ザカリー デムコ，",2010-12-22,2011-12-22,2018-05-23,2018-05-23,https://patents.google.com/patent/JP6328934B2/en,
NZ-759784-A,Liquid sample loading ,"Illumina Inc, Illumina Cambridge Ltd","Bradley Kent Drews, Gudrun Stengel, James Christopher Blake, Mohammed Kafeel Ahamed, Michael Steven Becker, Michael Dangelo, Mark J Nibbe, Daniel L Fuller, Oliver Miller",2017-09-28,2018-09-11,2021-10-29,,https://patents.google.com/patent/NZ759784A/en,
NZ-759784-B2,Methods and systems for decomposition and quantification of dna mixtures from multiple contributors of known or unknown genotypes ,Illumina Inc,"Jocelyne Bruand, Ryan Kelley, Chih Lee, Yong Li, Konrad Scheffler",2017-06-20,2018-06-19,2022-02-01,,https://patents.google.com/patent/NZ759784B2/en,
