search URL:,https://patents.google.com/?q=%22false+negatives%22+AND+%28%22genomic+diagnosis%22+OR+%22variant+interpretation%22%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-2761520-B1,Diagnostic method and system for genetic disease search based on the phenotype and the genome of a human subject ,"Trakadis, John",John TRAKADIS,2011-09-26,2012-09-26,2020-05-13,2020-05-13,https://patents.google.com/patent/EP2761520B1/en,https://patentimages.storage.googleapis.com/b5/9d/18/70c1594ed728bd/imgf0001.png
CN-107849612-B,Alignment and variant sequencing analysis pipeline ,奎斯特诊断投资股份有限公司,C·埃尔津加,2015-03-26,2016-03-25,2023-04-14,2023-04-14,https://patents.google.com/patent/CN107849612B/en,https://patentimages.storage.googleapis.com/87/15/02/9c1df8f36b0ff5/HDA0001480858400000011.png
BR-112019027179-A2,interpretation of genetic and genomic variants through a deep learning structure of integrated computational and experimental mutation ,Jungla Llc,"Carlos L. Araya, Jason A. Reuter, Samskruthi Padigepati, Alexandre Colavin",2017-06-19,2018-06-19,2020-06-30,,https://patents.google.com/patent/BR112019027179A2/en,
US-2019325988-A1,Method and system for rapid genetic analysis ,Rady Children's Hospital Research Center,"Stephen Kingsmore, Narayanan Veeraraghavan, Michelle Marie Clark",2018-04-18,2019-04-18,2019-10-24,,https://patents.google.com/patent/US20190325988A1/en,https://patentimages.storage.googleapis.com/a5/62/ae/330f2ce729a085/US20190325988A1-20191024-D00001.png
US-11842794-B2,Variant calling in single molecule sequencing using a convolutional neural network ,The University Of Hong Kong,"Ruibang LUO, Tak-Wah LAM, Chi-Man LIU",2019-03-19,2019-03-19,2023-12-12,2023-12-12,https://patents.google.com/patent/US11842794B2/en,https://patentimages.storage.googleapis.com/53/f1/e4/fe6a57e0b7f668/US11842794-20231212-D00000.png
CN-116194995-A,Method for identifying chromosomal dimensional instability such as homologous repair defects in next generation sequencing data of low coverage ,索菲亚遗传股份有限公司,"克里斯蒂安·波佐里尼, 格雷瓜尔·安德烈, 托马索·科莱塔, 徐振愚",2020-07-27,2021-07-27,2023-05-30,,https://patents.google.com/patent/CN116194995A/en,https://patentimages.storage.googleapis.com/30/b1/15/16809b2a90c207/HDA0004113725880000011.png
US-2024347133-A1,High-Throughput Cellular Molecular Function Assay System and Method ,Heligenics Inc.,"Martin R. Schiller, Christopher GIACOLETTO",2021-07-05,2024-01-05,2024-10-17,,https://patents.google.com/patent/US20240347133A1/en,https://patentimages.storage.googleapis.com/8d/f9/f4/876b9fbbb3066c/US20240347133A1-20241017-D00000.png
WO-2023014816-A1,Method and system for newborn screening for genetic diseases by whole genome sequencing ,Rady Childrens's Hospital Research Center,Stephen Kingsmore,2021-08-04,2022-08-03,2023-02-09,,https://patents.google.com/patent/WO2023014816A1/en,
JP-7634626-B2,Method for detecting genetic variations in highly homologous sequences by independent alignment and pairing of sequence reads - Patents.com ,ミリアド・ウィメンズ・ヘルス・インコーポレーテッド,"グローマン，ピーター, グールド，ジュヌビエーブ, マジー，デール",2018-07-27,2023-10-03,2025-02-21,2025-02-21,https://patents.google.com/patent/JP7634626B2/en,https://patentimages.storage.googleapis.com/b3/8d/4c/945271fd12cee7/0007634626000003.png
EP-2901345-A2,System for genome analysis and genetic disease diagnosis ,The Children's Mercy Hospital,"Stephen Kingsmore, Neil Miller, Carol Saunders, Sarah SODEN, Emily G. FARROW, Laurel K. WILLIG",2012-09-27,2013-09-27,2015-08-05,,https://patents.google.com/patent/EP2901345A2/en,
WO-2023087277-A1,"Sequence variation analysis method and system, and storage medium ",深圳华大基因股份有限公司,"熊云, 刘水霞, 曾权磊, 张宇, 韦懿, 李红, 方婷, 柴相花, 王梦杰, 袁玉英, 李宁",2021-11-19,2021-11-19,2023-05-25,,https://patents.google.com/patent/WO2023087277A1/en,https://patentimages.storage.googleapis.com/ef/55/fa/d621c5fa938dfb/PCTCN2021131904-appb-300001.png
CN-114730610-A,Kits and methods of using kits ,康捷尼科有限公司,"N.伦奇, S.德鲁里, Y.帕特尔, T.瑞尼",2019-09-20,2020-09-18,2022-07-08,,https://patents.google.com/patent/CN114730610A/en,https://patentimages.storage.googleapis.com/cb/de/c3/e755e9010acc73/HDA0003647108750000011.png
US-2010248290-A1,Methods for detecting lung cancer and monitoring treatment response ,British Columbia Cancer Agency Branch,"Stephen Lam, John Yee, Michael Kuzyk, Don Sin, Marianne Dorthy Sadar, Carl Martin Tammemagi",2007-11-23,2008-11-24,2010-09-30,,https://patents.google.com/patent/US20100248290A1/en,https://patentimages.storage.googleapis.com/5c/c5/4b/ba065a31785358/US20100248290A1-20100930-D00001.png
US-10116632-B2,"System, method and computer-accessible medium for secure and compressed transmission of genomic data ",New York University,"Bhubaneswar Mishra, Jason Reed",2014-09-12,2015-09-14,2018-10-30,2018-10-30,https://patents.google.com/patent/US10116632B2/en,https://patentimages.storage.googleapis.com/02/51/07/08cce2bf7786e3/US10116632-20181030-D00000.png
