search URL:,https://patents.google.com/?q=%22genome-wide%22+AND+%28%22variant+classification%22+OR+%22disease+probability%22%29+AND+%22Bayesian%22
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2024219712-A1,Interpretation of genetic and genomic variants via an integrated computational and experimental deep mutational learning framework ,Invitae Corporation,"Carlos L. Araya, Alexandre Colavin, Samskruthi Reddy Padigepati, Jason A. Reuter",2017-06-19,2024-09-13,2024-10-03,,https://patents.google.com/patent/AU2024219712A1/en,
US-10052026-B1,Smart mirror ,Bao Tran,Bao Tran,2017-03-06,2017-03-06,2018-08-21,2018-08-21,https://patents.google.com/patent/US10052026B1/en,https://patentimages.storage.googleapis.com/b4/3b/21/5ba0ca08feddcc/US10052026-20180821-D00001.png
US-2024371472-A1,Methods of detecting somatic and germline variants in impure tumors ,The Translational Genomics Research Institute,"Rebecca Halperin, David Craig",2017-02-01,2024-05-06,2024-11-07,,https://patents.google.com/patent/US20240371472A1/en,https://patentimages.storage.googleapis.com/1e/46/a9/91c2a4a5d7597f/US20240371472A1-20241107-D00000.png
JP-7308144-B2,System and method for detection of eye disease ,トランスレイタム メディカス インコーポレイテッド,"シェリー ボイド，, ナタリー パンコヴァ，",2016-10-13,2017-10-13,2023-07-13,2023-07-13,https://patents.google.com/patent/JP7308144B2/en,https://patentimages.storage.googleapis.com/df/ae/1f/381164ff45d288/0007308144000001.png
EP-3194624-B1,"Methods for diagnosis, prognosis and monitoring of breast cancer and reagents therefor ",Garvan Institute of Medical Research,"Susan Clark, Elena ZOTENKO, Clare STIRZAKER, Glenn FRANCIS",2014-09-15,2015-09-15,2022-02-16,2022-02-16,https://patents.google.com/patent/EP3194624B1/en,https://patentimages.storage.googleapis.com/21/ba/bf/e462a665d161f4/imgf0001.png
US-9834819-B2,Methods for diagnosing autism spectrum disorders ,Laboratory Corporation Of America Holdings,"David Michael Margulies, Mark Firman Bear",2009-09-08,2014-03-17,2017-12-05,2017-12-05,https://patents.google.com/patent/US9834819B2/en,https://patentimages.storage.googleapis.com/7f/7b/78/0370dae3123ec9/US09834819-20171205-D00001.png
US-2016314245-A1,"Device, system and method for assessing risk of variant-specific gene dysfunction ","Genepeeks, Inc.","Maxwell J. SILVER, Ari Julian SILVER, Lee M. SILVER, Nigel DELANEY",2014-06-17,2016-04-22,2016-10-27,,https://patents.google.com/patent/US20160314245A1/en,https://patentimages.storage.googleapis.com/50/d7/c9/11e5add4fb2c34/US20160314245A1-20161027-D00000.png
US-8744982-B2,Gene-specific prediction ,University Of Utah Research Foundation,"David K. Crockett, Perry G. Ridge",2011-05-12,2012-05-14,2014-06-03,2014-06-03,https://patents.google.com/patent/US8744982B2/en,https://patentimages.storage.googleapis.com/d5/69/a4/1548e6dfaa4f4f/US08744982-20140603-D00000.png
US-2022215900-A1,Systems and methods for joint low-coverage whole genome sequencing and whole exome sequencing inference of copy number variation for clinical diagnostics ,"Tempus Labs, Inc.",Francisco M. De La Vega,2021-01-07,2022-01-07,2022-07-07,,https://patents.google.com/patent/US20220215900A1/en,https://patentimages.storage.googleapis.com/18/ad/5a/45ce4a992e7aa1/US20220215900A1-20220707-D00000.png
US-2020097835-A1,"Device, system and method for assessing risk of variant-specific gene dysfunction ","Ancestry.Com Dna, Llc","Ari Julian SILVER, Velina Kozareva, Maxwell J. SILVER, Nigel DELANEY, Lee M. SILVER",2014-06-17,2019-09-23,2020-03-26,,https://patents.google.com/patent/US20200097835A1/en,https://patentimages.storage.googleapis.com/01/ba/2c/f1e5b5f4ab61f5/US20200097835A1-20200326-D00000.png
