search URL:,https://patents.google.com/?q=%28%22Bayesian%22+OR+%22probabilistic+framework%22%29+AND+%28%22true+positive%22+OR+%22false+positive%22+OR+%22confusion+matrix%22%29+AND+%28%22variant+interpretation%22+OR+%22variant+classification%22+OR+%22genomic+diagnosis%22%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2019189242-A1,Machine learning system and method for somatic mutation discovery ,Personal Genome Diagnostics Inc.,"Samuel V. Angiuoli, Derrick Wood",2017-12-18,2018-12-12,2019-06-20,,https://patents.google.com/patent/US20190189242A1/en,https://patentimages.storage.googleapis.com/73/bb/b1/e469390a6cea01/US20190189242A1-20190620-D00000.png
US-2024371472-A1,Methods of detecting somatic and germline variants in impure tumors ,The Translational Genomics Research Institute,"Rebecca Halperin, David Craig",2017-02-01,2024-05-06,2024-11-07,,https://patents.google.com/patent/US20240371472A1/en,https://patentimages.storage.googleapis.com/1e/46/a9/91c2a4a5d7597f/US20240371472A1-20241107-D00000.png
JP-7316270-B2,Interpreting Gene and Genomic Variants via Integrated Computational and Experimental Deep Mutational Learning Frameworks ,インビタエ コーポレイション,"カルロス エル． アラヤ，, ジェイソン エー． ロイター，, サムスクルティ レディ パディゲパティ，, アレクサンドル コラヴィン，",2017-06-19,2018-06-19,2023-07-27,2023-07-27,https://patents.google.com/patent/JP7316270B2/en,
EP-2761520-B1,Diagnostic method and system for genetic disease search based on the phenotype and the genome of a human subject ,"Trakadis, John",John TRAKADIS,2011-09-26,2012-09-26,2020-05-13,2020-05-13,https://patents.google.com/patent/EP2761520B1/en,https://patentimages.storage.googleapis.com/b5/9d/18/70c1594ed728bd/imgf0001.png
US-2021057042-A1,Systems and methods for detecting cellular pathway dysregulation in cancer specimens ,"Tempus Labs, Inc.","Nike T. Beaubier, Joshua SK Bell, Catherine Igartua, Hailey B. Lefkofsky, Lee F. Langer",2019-08-16,2020-08-14,2021-02-25,,https://patents.google.com/patent/US20210057042A1/en,https://patentimages.storage.googleapis.com/14/77/77/99bfae7496b961/US20210057042A1-20210225-D00001.png
US-10655178-B2,Methods for diagnosing autism spectrum disorders ,Laboratory Corporation Of America Holdings,"David Michael Margulies, Mark Firman Bear",2009-09-08,2017-11-30,2020-05-19,2020-05-19,https://patents.google.com/patent/US10655178B2/en,https://patentimages.storage.googleapis.com/3e/d7/ac/3c62891ff5ca2c/US10655178-20200519-D00001.png
US-9940434-B2,System for genome analysis and genetic disease diagnosis ,The Children's Mercy Hospital,"Stephen Kingsmore, Neil Miller, Carol Saunders, Sarah Soden, Emily G. Farrow",2012-09-27,2013-09-27,2018-04-10,2018-04-10,https://patents.google.com/patent/US9940434B2/en,https://patentimages.storage.googleapis.com/30/f3/6e/33869260a2e267/US09940434-20180410-D00000.png
US-10196687-B2,Molecular diagnosis and typing of lung cancer variants ,University Of North Carolina At Chapel Hill,"David N. Hayes, Charles M. Perou, Philip Bernard",2007-06-01,2016-11-22,2019-02-05,2019-02-05,https://patents.google.com/patent/US10196687B2/en,https://patentimages.storage.googleapis.com/a1/3b/08/b409bcbb8a4783/US10196687-20190205-D00001.png
CA-3227495-A1,Somatic variant cooccurrence with abnormally methylated fragments ,"Grail, Inc., Pranav Parmjit SINGH, Oliver Claude VENN","Pranav Parmjit SINGH, Oliver Claude VENN",2021-08-05,2022-08-04,2023-02-09,,https://patents.google.com/patent/CA3227495A1/en,
US-8744982-B2,Gene-specific prediction ,University Of Utah Research Foundation,"David K. Crockett, Perry G. Ridge",2011-05-12,2012-05-14,2014-06-03,2014-06-03,https://patents.google.com/patent/US8744982B2/en,https://patentimages.storage.googleapis.com/d5/69/a4/1548e6dfaa4f4f/US08744982-20140603-D00000.png
US-2015178445-A1,Detecting variants in sequencing data and benchmarking ,"The Broad Institute, Inc.","Kristian Cibulskis, Gad Getz, Michael Lawrence",2012-08-28,2015-02-27,2015-06-25,,https://patents.google.com/patent/US20150178445A1/en,https://patentimages.storage.googleapis.com/76/25/4e/42c9c7cf1aecc3/US20150178445A1-20150625-D00000.png
US-2020395097-A1,Pan-cancer model to predict the pd-l1 status of a cancer cell sample using rna expression data and other patient data ,"Tempus Labs, Inc.","Alan Chang, Denise Lau, Aly Azeem Khan",2019-05-30,2020-05-29,2020-12-17,,https://patents.google.com/patent/US20200395097A1/en,https://patentimages.storage.googleapis.com/7d/0f/fe/e6f377c701a95f/US20200395097A1-20201217-D00000.png
US-2017061070-A1,Method and process for whole genome sequencing for genetic disease diagnosis ,The Children's Mercy Hospital,"Stephen Kingsmore, Laurel K. Willig, Neil Miller",2014-02-13,2015-02-13,2017-03-02,,https://patents.google.com/patent/US20170061070A1/en,https://patentimages.storage.googleapis.com/0e/0a/f1/ab69905ca8bdf2/US20170061070A1-20170302-D00001.png
US-2022215900-A1,Systems and methods for joint low-coverage whole genome sequencing and whole exome sequencing inference of copy number variation for clinical diagnostics ,"Tempus Labs, Inc.",Francisco M. De La Vega,2021-01-07,2022-01-07,2022-07-07,,https://patents.google.com/patent/US20220215900A1/en,https://patentimages.storage.googleapis.com/18/ad/5a/45ce4a992e7aa1/US20220215900A1-20220707-D00000.png
JP-2020524350-A5,Patent JP2020524350A5 ,,,,2018-06-19,2021-08-05,,https://patents.google.com/patent/JP2020524350A5/en,
CN-102369531-B,Method for selecting statistically validated candidate genes ,先正达参股股份有限公司,"V.K.基肖尔, 郭志刚, 李珉, 王道龙, L.A.谷迪尔莱兹罗贾斯, J.D.V.克拉克, J.拜勒姆",2009-02-06,2010-02-05,2015-03-18,2015-03-18,https://patents.google.com/patent/CN102369531B/en,
EP-4381512-A1,Somatic variant cooccurrence with abnormally methylated fragments ,"Grail, LLC","Pranav Parmjit SINGH, Oliver Claude VENN",2021-08-05,2022-08-04,2024-06-12,,https://patents.google.com/patent/EP4381512A1/en,
WO-2024049915-A1,High-resolution and non-invasive fetal sequencing ,The General Hospital Corporation,"Christopher Whelan, Michael E TALKOWSKI, Harrison BRAND",2022-08-30,2023-08-30,2024-03-07,,https://patents.google.com/patent/WO2024049915A1/en,
US-2019325988-A1,Method and system for rapid genetic analysis ,Rady Children's Hospital Research Center,"Stephen Kingsmore, Narayanan Veeraraghavan, Michelle Marie Clark",2018-04-18,2019-04-18,2019-10-24,,https://patents.google.com/patent/US20190325988A1/en,https://patentimages.storage.googleapis.com/a5/62/ae/330f2ce729a085/US20190325988A1-20191024-D00001.png
KR-20180132727-A,Gene variant phenotype analysis system and use method ,리제너론 파마슈티칼스 인코포레이티드,"제프리 레이드, 옴리 가테스맨, 루카스 하베거, 브라이언 카제스, 제프리 스테플스, 이반 맥스웰",2016-03-29,2017-03-29,2018-12-12,,https://patents.google.com/patent/KR20180132727A/en,https://patentimages.storage.googleapis.com/3e/90/05/6652823fcfb7b9/pct00011.png
US-11322225-B2,Systems and methods for determining effects of therapies and genetic variation on polyadenylation site selection ,Deep Genomics Incorporated,"Brendan Frey, Michael Ka Kit LEUNG",2018-08-08,2021-01-29,2022-05-03,2022-05-03,https://patents.google.com/patent/US11322225B2/en,https://patentimages.storage.googleapis.com/f2/ea/3e/25b61b75dcc136/US11322225-20220503-D00000.png
US-2021151123-A1,Interpretation of Genetic and Genomic Variants via an Integrated Computational and Experimental Deep Mutational Learning Framework ,Jungla Inc.,"Carlos L. Araya, Jason A. Reuter, Samskruthi Reddy Padigepati, Alexandre Colavin",2018-03-08,2018-06-19,2021-05-20,,https://patents.google.com/patent/US20210151123A1/en,https://patentimages.storage.googleapis.com/7c/2b/8e/9e5c09fffb8377/US20210151123A1-20210520-D00000.png
JP-2023505031-A,Methods and compositions for cancer analysis ,"ザ ジョンズ ホプキンス ユニバーシティ, スティヒティング ヘット ネザーランズ カンカー インスティテュート アントニ ファン レーウェンフック ジーケンハウス, スティヒティング フェーウーエムセー","ビクター ヴェルクレスク，, アレサンドロ レアル，, ジリアン ファレン，, バルサモ アナグノストウ，, レマント ファイヌマン，, へリット メイヤー，, フリーケン， ニコル ファン",2019-11-25,2020-11-25,2023-02-08,,https://patents.google.com/patent/JP2023505031A/en,https://patentimages.storage.googleapis.com/03/be/b0/fb2fed23210b41/2023505031000003.png
EP-4447055-A2,Methods for classifying genetic mutations detected in cell-free nucleic acids as tumor or non-tumor origin ,"Guardant Health, Inc.","Jennifer YEN, Andrey CHURSOV",2020-03-11,2021-03-11,2024-10-16,,https://patents.google.com/patent/EP4447055A2/en,https://patentimages.storage.googleapis.com/2d/e9/b0/c4d9acb3c79f22/imgf0001.png
WO-2013086464-A1,Markers associated with chronic lymphocytic leukemia prognosis and progression ,"The Broad Institute, Inc., Dana-Farber Cancer Institute Inc","Catherine Ju-ying WU, Gad Getz",2011-12-07,2012-12-07,2013-06-13,,https://patents.google.com/patent/WO2013086464A1/en,
US-2024274298-A1,Systems and methods for predicting pathogenic status of fusion candidates detected in next generation sequencing data ,"Tempus Ai, Inc.","Sumaiya Islam, Robert Huether",2020-05-13,2024-04-03,2024-08-15,,https://patents.google.com/patent/US20240274298A1/en,https://patentimages.storage.googleapis.com/99/d9/d7/efeac3a7a5b6de/US20240274298A1-20240815-D00000.png
US-2024117440-A1,Panels and methods for treatment of diffuse large b-cell lymphoma ,"The Broad Institute, Inc., Dana-Farber Cancer Institute, Inc., The General Hospital Corporation","Bjoern Chapuy, Donald Stewart, Tim Wood, Margaret Shipp, Gad Getz, Mark Murakami, Lee LAWTON, Andrew Dunford, Kirsty WIENAND",2021-03-18,2023-09-15,2024-04-11,,https://patents.google.com/patent/US20240117440A1/en,https://patentimages.storage.googleapis.com/b4/4f/09/7675ae66e34ce3/US20240117440A1-20240411-D00001.png
KR-20230156364-A,Methods and related aspects for analyzing molecular reactions ,"가던트 헬쓰, 인크.","케이티 줄리아 퀸, 앨리시아 제이드 막, 엘레나 헬만, 팅팅 지앙, 저스틴 아이. 외데고르, 다리야 슈도바, 카일 릭 밍 창, 한-유 창, 다니엘 가일",2021-03-05,2022-03-04,2023-11-14,,https://patents.google.com/patent/KR20230156364A/en,https://patentimages.storage.googleapis.com/12/88/16/f5f310b7847741/pct00024.png
WO-2018209145-A1,Methods and compositions for determination of mutations in single replication events ,"The Broad Institute, Inc., Massachusetts Institute Of Technology","Soohong Kim, Paul BLAINEY, Yehuda BRODY, Robert Kimmerling",2017-05-10,2018-05-10,2018-11-15,,https://patents.google.com/patent/WO2018209145A1/en,
CN-114766056-A,Improved variant calling procedure using single cell analysis ,使命生物公司,"M·玛尼瓦南, D·金, S·萨胡, S·古拉蒂, 王姝",2019-10-02,2020-10-02,2022-07-19,,https://patents.google.com/patent/CN114766056A/en,https://patentimages.storage.googleapis.com/df/70/0e/07bfd6af881c10/HDA0003663250340000011.png
EP-4381510-A1,Method and system for newborn screening for genetic diseases by whole genome sequencing ,Rady Children's Hospital Research Center,Stephen Kingsmore,2021-08-04,2022-08-03,2024-06-12,,https://patents.google.com/patent/EP4381510A1/en,
US-2016080528-A1,"System, method and computer-accessible medium for secure and compressed transmission of genomic data ",New York University,"Bhubaneswar Mishra, Jason Reed",2014-09-12,2015-09-14,2016-03-17,,https://patents.google.com/patent/US20160080528A1/en,https://patentimages.storage.googleapis.com/63/3e/ab/fa519b37656b66/US20160080528A1-20160317-D00000.png
WO-2021046461-A1,Methods of analyzing genetic variants based on genetic material ,"Fabric Genomics, Inc.",Mark Yandell,2019-09-05,2020-09-04,2021-03-11,,https://patents.google.com/patent/WO2021046461A1/en,
WO-2023011723-A1,Identification of somatic variants ,Genome Research Limited,"Jyoti NANGALIA, Nicholas Williams",2021-08-05,2021-08-05,2023-02-09,,https://patents.google.com/patent/WO2023011723A1/en,
CN-114730610-A,Kits and methods of using kits ,康捷尼科有限公司,"N.伦奇, S.德鲁里, Y.帕特尔, T.瑞尼",2019-09-20,2020-09-18,2022-07-08,,https://patents.google.com/patent/CN114730610A/en,https://patentimages.storage.googleapis.com/cb/de/c3/e755e9010acc73/HDA0003647108750000011.png
WO-2015013191-A1,"Methods, systems, apparatus and their optimization for effective clinical analysis and conveying results thereof ","Dana-Farber Cancer Institute, Inc.","Levi A. Garraway, Eliezer M. VAN ALLEN, Nikhil Wagle",2013-07-21,2014-07-21,2015-01-29,,https://patents.google.com/patent/WO2015013191A1/en,
US-2023253070-A1,Systems and Methods for Detecting Cellular Pathway Dysregulation in Cancer Specimens ,"Tempus Labs, Inc.","Joshua Drews, Bonnie Dougherty, Lee Langer, Catherine Igartua, Andrew J. Sedgwick, Justin Guinney",2019-08-16,2023-02-28,2023-08-10,,https://patents.google.com/patent/US20230253070A1/en,https://patentimages.storage.googleapis.com/80/ac/be/e8d35213a10d9c/US20230253070A1-20230810-D00001.png
JP-2023505363-A,Whole Genome Sequencing Method for Picogram Quantities of DNA ,オックスフォード ユニバーシティ イノベーション リミテッド,"アシュア アハメド，アハメド, ネジャド ランジェパー，モハンマド ケラミ",2019-12-09,2020-12-09,2023-02-08,,https://patents.google.com/patent/JP2023505363A/en,https://patentimages.storage.googleapis.com/39/b1/e1/53ec848a52a854/2023505363000004.png
CN-111797395-B,"Malicious code visualization and variant detection method, device, equipment and storage medium ",韩山师范学院,"余健, 冯健文, 黄伟",2020-06-28,2020-06-28,2023-08-29,2023-08-29,https://patents.google.com/patent/CN111797395B/en,
CN-119719955-A,"A method, device, computer equipment and storage medium for evidence optimization based on Bayesian model ",四川大学华西医院,"刘思寒, 冯小殊, 卜枫啸",2024-12-17,2024-12-17,2025-03-28,,https://patents.google.com/patent/CN119719955A/en,
WO-2025050071-A1,Probabilistic variant interpretation ,Laboratory Corporation Of America Holdings,"Keith NYKAMP, Alexandre Colavin, Toby MANDERS, Yuya KOBAYASHI, Carlos Araya, Arun NAMPALLY",2023-08-31,2024-08-30,2025-03-06,,https://patents.google.com/patent/WO2025050071A1/en,
