search URL:,https://patents.google.com/?q=%22Hardy-Weinberg%22+AND+%28%22genetic+variant%22+OR+%22genetic+diagnosis%22+OR+%22genetic+analysis%22%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2010273153-A1,Genetic diagnosis of depression ,"Boris Tabakoff, Larry Martinez, Laura Saba, Paula Hoffman","Boris Tabakoff, Larry Martinez, Laura Saba, Paula Hoffman",2006-11-29,2007-11-21,2010-10-28,,https://patents.google.com/patent/US20100273153A1/en,https://patentimages.storage.googleapis.com/d4/6b/3c/784f0a1c2ce549/US20100273153A1-20101028-D00000.png
US-10584384-B2,"Genetic polymorphisms associated with cardiovascular diseases, methods of detection and uses thereof ",Celera Corporation,"Dov Shiffman, James J. Devlin, Judy Z. LOUIE, Eric BOERWINKLE",2008-07-09,2017-01-18,2020-03-10,2020-03-10,https://patents.google.com/patent/US10584384B2/en,
US-9133518-B2,Method for determining predisposition to pulmonary infection ,Presidental and Fellows of Harvard College,"Hara Levy, Craig Gerard, Gerald Pier, Scott Weiss, Christoph Lange",2007-04-27,2011-11-15,2015-09-15,2015-09-15,https://patents.google.com/patent/US9133518B2/en,https://patentimages.storage.googleapis.com/0d/2c/dc/00d5f91d27cc7c/US09133518-20150915-D00001.png
US-2010003673-A1,Gene and methods for diagnosing neuropsychiatric disorders and treating such disorders ,Berrettini Wade H,Wade H. Berrettini,1999-10-14,2008-05-23,2010-01-07,,https://patents.google.com/patent/US20100003673A1/en,
US-2010273175-A1,Method of judging risk for onset of drug-induced granulocytopenia ,"Otsuka Pharmaceutical Co., Ltd.","Koji Suematsu, Koichi Hasegawa",2003-07-29,2010-07-09,2010-10-28,,https://patents.google.com/patent/US20100273175A1/en,https://patentimages.storage.googleapis.com/fd/87/d2/a895729b32090f/US20100273175A1-20101028-D00001.png
CN-112094906-A,Gene diagnosis kit suitable for injury of anterior cruciate ligament in China ,陈鸿,"陈鸿, 姜春岩, 史荔, 赵文川, 刘舒媛, 罗廷虎, 张启, 杨智敏, 郭艳",2020-10-28,2020-10-28,2020-12-18,,https://patents.google.com/patent/CN112094906A/en,https://patentimages.storage.googleapis.com/df/82/e7/173e3fa5d9c60c/HDA0002746982350000011.png
CN-105543390-A,Primer and kit for detecting susceptibility of paranoia schizophrenia ,青岛市肿瘤医院,"张海茂, 李莉, 邓华",2016-02-04,2016-02-04,2016-05-04,,https://patents.google.com/patent/CN105543390A/en,
US-8080371-B2,Markers for addiction ,The Washington University,"Dennis Ballinger, Karel Konvicka, Laura Jean Bierut, John Rice, Frank Scott Saccone, Anthony L. Hinrichs, Alison M. Goate, Jen Wang",2006-03-01,2007-03-01,2011-12-20,2011-12-20,https://patents.google.com/patent/US8080371B2/en,https://patentimages.storage.googleapis.com/cd/40/37/26683f9bf1406c/US08080371-20111220-D00001.png
US-2009053204-A1,Functional Genomic Pore Assay For Mixed Cell Populations ,Wisconsin Alumni Research Foundation,"Loren C. Denlinger, Kirk J. Hogan, Paul J. Bertics, Kathleen Schell",2003-04-21,2008-06-03,2009-02-26,,https://patents.google.com/patent/US20090053204A1/en,https://patentimages.storage.googleapis.com/08/98/9a/47caf086a7afbf/US20090053204A1-20090226-D00000.png
US-2012190568-A1,"Genetic markers associated with age-related macular degeneration, methods of detection and uses thereof ",Cambridge Enterprise Limited,John R. W. Yates,2008-03-18,2011-12-20,2012-07-26,,https://patents.google.com/patent/US20120190568A1/en,
JP-6839779-B2,"Genetic polymorphisms associated with statin response and cardiovascular disease, their detection methods and uses ","セレラ コーポレーション, セレラ  コーポレーション","シッフマン ダフ, シッフマン ダフ, ジェイ． デブリン ジェイムス, ジェイ．  デブリン ジェイムス, ルーク メイ, ルーク メイ, ロス デイビッド, ロス デイビッド",2010-04-19,2020-02-27,2021-03-10,2021-03-10,https://patents.google.com/patent/JP6839779B2/en,
EA-023630-B1,Biomarker for detecting high-altitude adaptation and high-altitude pulmonary edema ,Каунсел Оф Сайентифик & Индастриал Рисёч,"Бхавана Прашер, Шилпи Аггарвал, Мохаммед Абдул Кадар Паша, Митали Мукерджи",2010-12-09,2011-10-13,2016-06-30,,https://patents.google.com/patent/EA023630B1/en,
KR-102464372-B1,Methods of diagnosing inflammatory bowel disease through rnaset2 ,세다르스-신나이 메디칼 센터,"레베카 곤스카이, 스테판 알 타간, 리차드 엘 딤, 필립 플레슈너, 더모트 피 맥거번, 자닌 빌스보러",2016-03-17,2017-03-17,2022-11-04,2022-11-04,https://patents.google.com/patent/KR102464372B1/en,https://patentimages.storage.googleapis.com/24/12/36/feb4f1db2cc317/112022004689016-pat00022.png
US-2012040342-A1,Genetic Indicators Of Weight Loss ,Geisinger Clinic,"Glenn Gerhard, Christopher Doubet Still, Peter N Benotti, Xin Chu",2008-03-17,2009-03-17,2012-02-16,,https://patents.google.com/patent/US20120040342A1/en,https://patentimages.storage.googleapis.com/c8/27/4d/51d591370b568a/US20120040342A1-20120216-D00001.png
EP-2772553-B1,Methods for genetic analysis ,Genetic Technologies Limited,"David R. Cox, Mark A. Mccamish",2007-09-27,2008-09-24,2018-02-28,2018-02-28,https://patents.google.com/patent/EP2772553B1/en,https://patentimages.storage.googleapis.com/20/9f/3c/e9a3975323ee30/imgf0001.png
